id,slug,name,category,sub_category,pitch,onet_codes,budget_band,location,team,time_mode,km_legacy_id
97,nail-studio,Nail Art Studio,Health & Wellness,Beauty,Nail extensions and nail art in a small studio.,39-5092.00,2,local,solo,full,
98,elder-care-service,Elder Care Service,Health & Wellness,Care,Trained attendants and check-in visits for elderly people living alone.,31-1122.00;31-1121.00;11-9111.00,2,local,team,full,
99,physio-and-massage,Massage & Physio Clinic,Health & Wellness,Therapy,Therapeutic massage and recovery sessions for athletes and office workers.,31-9011.00,2,local,solo,full,
100,diagnostic-collection-centre,Diagnostic Sample Collection,Health & Wellness,Diagnostics,A franchise collection centre with home sample pickup for a lab chain.,31-9097.00;11-9111.00,3,local,small,full,
101,pet-grooming,Pet Grooming,Pets,Grooming,Grooming at a salon or doorstep van for dogs and cats.,39-2021.00;39-1022.00,2,local,small,full,12
102,pet-boarding-and-walking,Pet Boarding & Walking,Pets,Care,"Daycare, boarding and dog walking for busy pet parents.",39-2021.00;39-2011.00,1,local,solo,both,77
103,pet-food-and-treats,Homemade Pet Treats,Pets,Food,Fresh pet food and treats sold online and through pet shops.,51-3092.00;39-2021.00,1,online,solo,both,
104,social-media-agency,Social Media Marketing Agency,Digital & Tech,Marketing,"Run Instagram, reels and ads for local brands on monthly retainers.",13-1161.00;27-1024.00;27-3031.00;11-2021.00,1,online,small,both,4
105,digital-agency,Performance & Digital Agency,Digital & Tech,Marketing,"Websites, SEO and paid ads for small and mid-size businesses.",11-2021.00;13-1161.00;15-1254.00,2,online,team,full,98
106,website-development,Website & App Development,Digital & Tech,Development,Build websites and simple apps for local businesses and startups.,15-1254.00;15-1252.00,1,online,solo,both,
107,saas-micro-product,Micro SaaS Product,Digital & Tech,Software,A small subscription software tool that solves one business problem well.,15-1252.00;15-1211.00,1,online,solo,both,
108,graphic-design-studio,Graphic Design Studio,Digital & Tech,Design,"Logos, packaging and brand identity for small businesses.",27-1024.00,1,online,solo,both,
109,video-editing-service,Video Editing Service,Digital & Tech,Video,"Edit reels, YouTube videos and ads for creators and brands.",27-4032.00,1,online,solo,both,
110,virtual-assistant,Virtual Assistant Service,Digital & Tech,Admin,"Handle inboxes, calendars and admin for founders and professionals.",43-6014.00;43-4051.00,1,online,solo,both,23
111,data-and-analytics-freelance,Data Analytics Consulting,Digital & Tech,Data,"Dashboards, Excel automation and analytics for small businesses.",15-2051.00;15-1211.00,1,online,solo,both,
112,it-support-amc,IT Support & AMC,Digital & Tech,IT Services,"Annual contracts to manage computers, networks and printers for offices.",15-1232.00;49-2011.00;11-2021.00,2,local,small,full,
113,content-writing-agency,Content Writing Service,Creative & Media,Writing,"Blogs, website copy and product descriptions for brands.",27-3043.00;27-3041.00,1,online,solo,both,21
114,niche-blog,Niche Blog / Website,Creative & Media,Publishing,A content site in one niche earning from ads and affiliate links.,27-3043.00;13-1161.00,1,online,solo,side,100
115,newsletter-business,Paid Newsletter,Creative & Media,Publishing,A focused newsletter that earns from subscriptions and sponsors.,27-3043.00;27-3041.00,1,online,solo,side,90
116,youtube-channel,YouTube / Creator Channel,Creative & Media,Creator,"A channel in one niche earning from ads, brand deals and products.",27-4031.00;27-4032.00;27-3043.00,1,online,solo,both,
117,podcast-studio,Podcast & Podcast Studio,Creative & Media,Audio,Host a podcast or rent a recording studio to creators and brands.,27-4014.00;27-3011.00;11-2021.00,2,any,small,both,94
118,photography-studio,Photography Studio,Creative & Media,Photography,"Portfolio, product, wedding and baby shoots.",27-4021.00,2,local,solo,both,80
119,stock-photography,Stock Photography & Footage,Creative & Media,Photography,Shoot India-specific stock images and footage for global libraries.,27-4021.00,1,online,solo,side,28
120,illustration-studio,Illustration & Caricature,Creative & Media,Illustration,"Commissioned illustrations, caricatures at events and book art.",27-1013.00,1,any,solo,both,33
121,translation-services,Translation & Localisation,Creative & Media,Language,"Translate documents, subtitles and apps between Indian languages and English.",27-3091.00,1,online,solo,both,
122,affiliate-marketing,Affiliate Marketing,Creative & Media,Marketing,Earn commissions recommending products through content and deals channels.,13-1161.00;27-3043.00,1,online,solo,side,24
123,accounting-and-gst,Accounting & GST Filing,Professional Services,Finance,"Bookkeeping, GST returns and ITR filing for small businesses.",13-2011.00;43-3031.00;13-2082.00,1,any,solo,both,
124,insurance-agency,Insurance Advisory,Professional Services,Finance,"Sell and service life, health and motor insurance for families and shops.",41-3021.00,1,any,solo,both,
125,financial-advisory,Mutual Fund Distribution & Advisory,Professional Services,Finance,"Help families plan savings, SIPs and insurance as a registered distributor.",13-2052.00,1,any,solo,both,
126,real-estate-brokerage,Real Estate Brokerage,Professional Services,Real Estate,"Help people buy, sell and rent property in your area.",41-9022.00;41-9021.00,1,local,solo,full,60
127,business-consulting,Business Consulting,Professional Services,Consulting,"Advise small businesses on operations, sales or finance in your area of expertise.",13-1111.00,1,any,solo,both,29
128,life-coaching,Life & Career Coaching,Professional Services,Coaching,One-on-one and group coaching for career changes and personal growth.,21-1012.00;13-1151.00,1,online,solo,both,50
129,recruitment-agency,Recruitment & Staffing Agency,Professional Services,HR,"Source and place staff for local businesses, on commission.",13-1071.00;11-1021.00,1,any,small,full,
130,legal-documentation,Legal Documentation Services,Professional Services,Legal,"Rent agreements, affidavits, company registration and trademark filing.",23-2011.00,1,local,solo,both,
131,import-export-trading,Import-Export Trading,Professional Services,Trade,"Source products in India and sell to buyers abroad, or the reverse.",41-4012.00;13-1081.00;13-1023.00;11-1021.00,3,any,small,full,
132,frozen-and-ready-to-cook-foods,Frozen & Ready-to-Cook Foods Brand,Food,Packaged Foods,"Frozen momos, snacks or ready-to-cook meals supplied to cafés, hotels and grocery stores.",51-3092.00;51-9111.00;11-2021.00,3,any,small,full,
133,d2c-apparel-brand,D2C Apparel Brand,Fashion & Apparel,Casualwear,"Streetwear, innerwear or basics with a sharp brand, sold on your own site and Instagram.",27-1022.00;11-2021.00;13-1022.00,3,online,small,full,
134,kids-enrichment-classes,Kids Enrichment Classes,Education & Coaching,Kids Learning,"Abacus, brain-training, phonics or coding programmes for children.",25-3021.00;25-2011.00;11-9032.00,2,local,small,both,
136,agritech-devices,Agri-Tech Tools & Devices,Agri & Rural,Agri-Tech,"Low-cost tools and sensors that save farmers time, water or crop losses.",17-2021.00;19-4012.00;11-9013.00,3,rural,small,full,
137,medical-devices-startup,Medical Device Startup,Health & Wellness,Med-Tech,"Affordable diagnostic or care devices for clinics, hospitals and homes.",17-2031.00;41-9031.00;11-9111.00,4,any,team,full,
138,ev-assembly,EV Assembly & Conversion,Mobility & Logistics,EV,"Assemble electric bikes or scooters, or convert existing vehicles to electric.",49-3023.00;51-2092.00;17-2141.00;51-1011.00,4,local,team,full,
140,b2b-marketplace,B2B Marketplace,Digital & Tech,Marketplaces,"An online platform connecting buyers and suppliers in one industry, like yarn or spare parts.",15-1252.00;41-4012.00;11-2021.00,3,online,team,full,
141,sneaker-and-streetwear-resale,Sneaker & Streetwear Resale,Retail & Trading,Fashion Resale,Source limited-edition sneakers and streetwear and resell them to collectors.,13-1022.00;41-2031.00,3,online,solo,both,
142,funeral-services,Funeral Services,Professional Services,Life Events,"Arrange last rites end to end — permits, priest, transport and rituals — for grieving families.",39-4031.00;11-1021.00,2,local,small,full,
143,quick-service-food-outlet,Quick-Service Food Outlet,Food,Street Food,"A small outlet selling one hero item — Maggi, rolls, kunafa or kheer — fast and cheap.",35-3023.00;35-2014.00;11-9051.00,3,local,small,full,
144,cafe,Café / Coffee Shop,Food,Cafés,A neighbourhood café with a clear vibe and a menu people come back for.,35-3023.00;11-9051.00;35-2014.00,4,local,team,full,
145,ice-cream-and-desserts-brand,Ice Cream & Desserts Brand,Food,Desserts,"Ice creams, ice pops or desserts with a twist, sold through stores and delivery apps.",51-3092.00;11-2021.00,3,any,small,full,
146,beverage-brand,Beverage Brand,Food,Beverages,"Drinks, premixes or health beverages made by a co-packer and sold under your brand.",51-3092.00;11-2021.00;41-4012.00,3,any,small,full,
147,traditional-health-foods,Traditional & Ayurvedic Foods Brand,Food,Packaged Foods,"Postpartum ladoos, herbal teas and ferments made from grandma's recipes.",51-3092.00;29-1031.00;11-3051.00,2,any,small,both,
148,cold-pressed-oil-mill,Cold-Pressed Oil Mill,Food,Food Processing,"Wood-pressed (ghani) mustard, groundnut and coconut oils sold locally and online.",51-9111.00;51-3092.00;11-3051.00,3,any,small,full,
149,fresh-meat-and-fish-store,Fresh Meat & Fish Store,Food,Retail Food,"Hygienic, cleanly cut meat and fish with home delivery.",51-3021.00;41-2031.00;11-9051.00,3,local,small,full,
150,personal-care-brand,Skincare & Personal Care Brand,Health & Wellness,Personal Care,"Skincare, hygiene or fragrance products made by a contract manufacturer and sold online.",19-4031.00;11-2021.00,3,online,small,full,
151,handmade-soap-and-cosmetics,Handmade Soaps & Natural Cosmetics,Crafts & Manufacturing,Personal Care,"Small-batch soaps, lip balms and body butters made at home.",27-1012.00;19-4031.00,1,any,solo,both,
152,eco-friendly-products-brand,Eco-Friendly Products Brand,Crafts & Manufacturing,Sustainable Goods,"Bamboo, compostable or plastic-free everyday products for homes and businesses.",11-2021.00;51-9111.00,3,any,small,full,
153,florist-and-flower-delivery,Florist & Flower Delivery,Retail & Trading,Gifting,"Fresh bouquets and flower arrangements for gifting, events and offices.",27-1023.00;41-2031.00;41-1011.00,2,local,small,full,
154,publishing-and-comics,Books & Comics Publishing,Creative & Media,Publishing,"Self-publish books, comics or webcomics on topics you care about.",27-3043.00;27-1013.00;27-3041.00;11-2021.00,2,online,small,both,
155,toys-and-games-brand,Toys & Educational Games Brand,Crafts & Manufacturing,Toys,"Wooden, educational or traditional Indian toys and games, made with craft clusters like Channapatna.",51-7011.00;27-1021.00;51-1011.00,3,any,small,full,
156,footwear-brand,Footwear Brand,Fashion & Apparel,Footwear,"Comfort, orthopaedic or style footwear made with local manufacturers.",51-6041.00;27-1022.00;51-1011.00,3,any,small,full,
157,farm-stay-agri-tourism,Farm Stays & Agri-Tourism,Agri & Rural,Tourism,"Host city families on your farm for stays, harvest days and village experiences.",11-9013.00;11-9081.00;39-7011.00,3,rural,small,full,
158,hydroponics-and-urban-farming,Hydroponics & Urban Farming,Agri & Rural,Farming,Grow leafy greens and exotic vegetables in hydroponic setups and sell to cafés and homes.,11-9013.00;45-2092.00;19-4012.00,3,any,small,both,
159,nutrition-supplements-brand,Nutrition & Supplements Brand,Health & Wellness,Supplements,"Protein, vitamins or Ayurvedic supplements made by a licensed manufacturer and sold online.",29-1031.00;11-2021.00,3,online,small,full,39
160,sports-coaching-academy,Sports Coaching Academy,Education & Coaching,Sports,"Coaching in cricket, chess, calisthenics or any sport for kids and adults.",27-2022.00;39-9031.00;11-9032.00,2,local,small,both,
161,sports-goods-brand,Sports Goods Brand,Retail & Trading,Sports,"Bats, paddles, gear or sportswear made with Indian manufacturers like Jalandhar and Meerut.",41-4012.00;27-1021.00;41-1011.00,3,any,small,full,
162,capsule-and-budget-hotel,Capsule & Budget Hotel,Events & Hospitality,Stays,"Pod-style or hourly rooms near stations, airports and hospitals.",11-9081.00;43-4081.00,4,local,team,full,
163,pooja-and-incense-products,Pooja & Incense Products,Crafts & Manufacturing,Devotional,"Incense, dhoop, pooja kits and temple-flower products for homes and temples.",51-9111.00;27-1012.00;51-1011.00,1,any,small,both,
