id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source
14,"D2C, Regional Crafts & ODOP Brands",Blue Pottery Home Decor,Artisanal ceramic decor items,Interior Designers,pottery-studio,2,online,small,both,sheet-500
15,"D2C, Regional Crafts & ODOP Brands",Madhubani Art Prints,Traditional Indian art for modern homes,Art Collectors,handcrafted-home-decor,,,,,sheet-500
16,"D2C, Regional Crafts & ODOP Brands",Warli Painted Pots,Tribal art inspired planters,Plant Parents,handcrafted-home-decor,,,,,sheet-500
17,"D2C, Regional Crafts & ODOP Brands",Pattachitra Bookmarks,Hand-painted traditional bookmarks,Book Lovers,handcrafted-home-decor,,,,,sheet-500
18,"D2C, Regional Crafts & ODOP Brands",Dhokra Metal Crafts,Ancient metal casting artifacts,Souvenir Buyers,handcrafted-home-decor,,,,,sheet-500
19,"D2C, Regional Crafts & ODOP Brands",Kutch Embroidery Jackets,Vibrant handcrafted winterwear,Boho Fashion Fans,handloom-textiles-brand,,,,,sheet-500
20,"D2C, Regional Crafts & ODOP Brands",Chikankari Kurtas,Elegant hand-embroidered ethnic wear,Women 18-45,handloom-textiles-brand,,,,,sheet-500
21,"D2C, Regional Crafts & ODOP Brands",Phulkari Dupattas,Colorful traditional Punjabi scarves,Wedding Shoppers,handloom-textiles-brand,,,,,sheet-500
22,"D2C, Regional Crafts & ODOP Brands",Kantha Stitch Quilts,Hand-stitched vintage quilts,Home Furnishing Buyers,handloom-textiles-brand,,,,,sheet-500
23,"D2C, Regional Crafts & ODOP Brands",Kalamkari Tote Bags,Hand-painted eco-friendly bags,College Students,bags-and-accessories-brand,,,,,sheet-500
24,"D2C, Regional Crafts & ODOP Brands",Ikat Weave Cushions,Geometric pattern traditional cushions,Homeowners,handloom-textiles-brand,,,,,sheet-500
25,"D2C, Regional Crafts & ODOP Brands",Ajrakh Block Print Shirts,Natural dye block printed apparel,Men 25-40,handloom-textiles-brand,,,,,sheet-500
26,"D2C, Regional Crafts & ODOP Brands",Bagh Print Bedsheets,Traditional block print bed linens,Homemakers,handloom-textiles-brand,,,,,sheet-500
27,"D2C, Regional Crafts & ODOP Brands",Sanganeri Print Fabrics,Floral block printed textiles,Boutique Owners,handloom-textiles-brand,,,,,sheet-500
28,"D2C, Regional Crafts & ODOP Brands",Bandhani Scarves,Tie-dye traditional scarves,Young Women,handloom-textiles-brand,,,,,sheet-500
29,"D2C, Regional Crafts & ODOP Brands",Leheriya Turbans,Traditional wave pattern headwear,Groomsmen,handloom-textiles-brand,,,,,sheet-500
30,"D2C, Regional Crafts & ODOP Brands",Patola Silk Ties,Premium silk ties with traditional motifs,Corporate Executives,handloom-textiles-brand,,,,,sheet-500
31,"D2C, Regional Crafts & ODOP Brands",Paithani Sarees D2C,Direct access to premium Maharashtrian sarees,Bridal Shoppers,handloom-textiles-brand,,,,,sheet-500
32,"D2C, Regional Crafts & ODOP Brands",Kanjeevaram Silk Fusion,Modern silhouettes in traditional silk,Luxury Buyers,handloom-textiles-brand,,,,,sheet-500
33,"D2C, Regional Crafts & ODOP Brands",Chanderi Silk Stoles,Lightweight sheer silk scarves,Working Women,handloom-textiles-brand,,,,,sheet-500
34,"D2C, Regional Crafts & ODOP Brands",Maheshwari Handlooms,Reversible traditional border textiles,Ethnic Enthusiasts,handloom-textiles-brand,,,,,sheet-500
35,"D2C, Regional Crafts & ODOP Brands",Muga Silk Accessories,Golden silk luxury accessories,Premium Gifting,handloom-textiles-brand,,,,,sheet-500
36,"D2C, Regional Crafts & ODOP Brands",Eri Silk Winterwear,Ahimsa (peace) silk thermal wear,Ethical Consumers,handloom-textiles-brand,,,,,sheet-500
37,"D2C, Regional Crafts & ODOP Brands",Tussar Silk Drapes,Textured wild silk curtains,Luxury Home Decor,handloom-textiles-brand,,,,,sheet-500
38,"D2C, Regional Crafts & ODOP Brands",Pashmina Shawl D2C,Authentic Kashmiri pashminas online,High Net Worth Individuals,handloom-textiles-brand,,,,,sheet-500
39,"D2C, Regional Crafts & ODOP Brands",Kullu Shawls Online,Geometric pattern Himalayan shawls,Winter Travelers,handloom-textiles-brand,,,,,sheet-500
40,"D2C, Regional Crafts & ODOP Brands",Naga Shawl Jackets,Tribal pattern modern outerwear,Streetwear Fans,handloom-textiles-brand,,,,,sheet-500
41,"D2C, Regional Crafts & ODOP Brands",Toda Embroidery Bags,Distinctive red-black embroidered bags,Fashion Accessories Market,handloom-textiles-brand,,,,,sheet-500
42,"D2C, Regional Crafts & ODOP Brands",Kasuti Work Blouses,Intricate threadwork ethnic tops,Saree Wearers,handloom-textiles-brand,,,,,sheet-500
43,"D2C, Regional Crafts & ODOP Brands",Pipli Applique Decor,Colorful fabric stitched home decor,Festive Shoppers,handcrafted-home-decor,,,,,sheet-500
44,"D2C, Regional Crafts & ODOP Brands",Sholapith Crafts,Indian cork eco-friendly decorations,Event Planners,handcrafted-home-decor,,,,,sheet-500
45,"D2C, Regional Crafts & ODOP Brands",Coconut Shell Bowls,Upcycled natural kitchenware,Smoothie Bowl Fans,eco-friendly-products-brand,,,,,sheet-500
46,"D2C, Regional Crafts & ODOP Brands",Banana Fiber Baskets,Sustainable storage solutions,Zero Waste Homes,eco-friendly-products-brand,,,,,sheet-500
47,"D2C, Regional Crafts & ODOP Brands",Moonj Grass Planters,Handwoven natural planters,Urban Gardeners,eco-friendly-products-brand,,,,,sheet-500
48,"D2C, Regional Crafts & ODOP Brands",Sabai Grass Mats,Durable natural fiber floor mats,Eco-friendly Homes,eco-friendly-products-brand,,,,,sheet-500
49,"D2C, Regional Crafts & ODOP Brands",Sikki Grass Crafts,Golden grass decorative items,Handicraft Collectors,eco-friendly-products-brand,,,,,sheet-500
50,"D2C, Regional Crafts & ODOP Brands",Cane Furniture D2C,Direct-to-consumer rattan furniture,Modern Homeowners,furniture-workshop,3,online,small,full,sheet-500
51,"Agritech, Food Processing & Rural Commerce",Solar Cold Storage,Off-grid cooling for farm produce,Rural Farmers,agritech-devices,,,,,sheet-500
52,"Agritech, Food Processing & Rural Commerce",Millet Health Bars,Nutritious snacks from ancient grains,Health Conscious Urbanites,healthy-snacks-brand,,,,,sheet-500
53,"Agritech, Food Processing & Rural Commerce",Farm-to-Table Organic Veggies,Direct delivery of fresh produce,Urban Families,honey-and-organic-produce,,,,,sheet-500
54,"Agritech, Food Processing & Rural Commerce",Drone Spraying Services,Precision agriculture drone operations,Large Scale Farmers,agritech-devices,,,,,sheet-500
55,"Agritech, Food Processing & Rural Commerce",Soil Health Testing Kits,Instant soil analysis for better yield,Agri-Entrepreneurs,agritech-devices,,,,,sheet-500
56,"Agritech, Food Processing & Rural Commerce",Smart Irrigation Controllers,IoT based water management for farms,Commercial Farmers,agritech-devices,,,,,sheet-500
57,"Agritech, Food Processing & Rural Commerce",Hydroponic Setup for Urban,Soilless farming kits for balconies,Urban Gardeners,hydroponics-and-urban-farming,2,local,small,both,sheet-500
58,"Agritech, Food Processing & Rural Commerce",Aquaponics Kits,Combined fish and plant farming systems,Hobbyist Farmers,hydroponics-and-urban-farming,,,,,sheet-500
59,"Agritech, Food Processing & Rural Commerce",Vertical Farming Modules,Space-saving indoor farming tech,City Planners,hydroponics-and-urban-farming,,,,,sheet-500
60,"Agritech, Food Processing & Rural Commerce",Mushroom Cultivation Tech,Automated climate control for mushrooms,Specialty Farmers,mushroom-farming,,,,,sheet-500
61,"Agritech, Food Processing & Rural Commerce",Beekeeping & Honey D2C,Raw artisanal honey directly from apiaries,Gourmet Food Buyers,honey-and-organic-produce,2,rural,small,both,sheet-500
62,"Agritech, Food Processing & Rural Commerce",Moringa Powder Exports,Superfood processing for global markets,Health Supplement Brands,agro-processing-unit,,,,,sheet-500
63,"Agritech, Food Processing & Rural Commerce",Ashwagandha Supplements,Processed adaptogenic herbs,Wellness Consumers,nutrition-supplements-brand,,,,,sheet-500
64,"Agritech, Food Processing & Rural Commerce",Turmeric Curcumin Drops,High-concentration immunity boosters,Health Conscious Individuals,nutrition-supplements-brand,,,,,sheet-500
65,"Agritech, Food Processing & Rural Commerce",Foxnut (Makhana) Snacks,Flavored roasted lotus seeds,Snack Enthusiasts,healthy-snacks-brand,,,,,sheet-500
66,"Agritech, Food Processing & Rural Commerce",Jackfruit Meat Alternative,Processed raw jackfruit as vegan meat,Vegans and Vegetarians,frozen-and-ready-to-cook-foods,,,,,sheet-500
67,"Agritech, Food Processing & Rural Commerce",Plant-based Milk (Oat/Almond),Locally produced dairy alternatives,Lactose Intolerant Consumers,beverage-brand,,,,,sheet-500
68,"Agritech, Food Processing & Rural Commerce",Cold Pressed Mustard Oil,Traditional unrefined cooking oil,Health Conscious Cooks,cold-pressed-oil-mill,,,,,sheet-500
69,"Agritech, Food Processing & Rural Commerce",Wood Pressed Coconut Oil,Pure unadulterated coconut oil,Skincare and Cooking Consumers,cold-pressed-oil-mill,,,,,sheet-500
70,"Agritech, Food Processing & Rural Commerce",A2 Gir Cow Ghee,Premium clarified butter from indigenous cows,Ayurveda Followers,dairy-farm,,,,,sheet-500
71,"Agritech, Food Processing & Rural Commerce",Artisanal Jaggery Cubes,Chemical-free traditional sweetener,Sugar-free Diet Followers,honey-and-organic-produce,,,,,sheet-500
72,"Agritech, Food Processing & Rural Commerce",Date Palm Jaggery,Seasonal premium natural sweetener,Gourmet Bakers,honey-and-organic-produce,,,,,sheet-500
73,"Agritech, Food Processing & Rural Commerce",Wild Forest Honey,Unprocessed honey gathered by tribes,Organic Food Lovers,honey-and-organic-produce,,,,,sheet-500
74,"Agritech, Food Processing & Rural Commerce",Saffron Infused Honey,Luxury wellness condiment,Premium Gifting Market,honey-and-organic-produce,,,,,sheet-500
75,"Agritech, Food Processing & Rural Commerce",Spices Subscription Box,Monthly delivery of fresh ground spices,Home Chefs,spice-processing-unit,1,online,solo,both,sheet-500
76,"Agritech, Food Processing & Rural Commerce",Cardamom Extract,Liquid flavoring for baking and beverages,Bakeries and Cafes,spice-processing-unit,,,,,sheet-500
77,"Agritech, Food Processing & Rural Commerce",Black Pepper Grinders,Freshly milled spices on demand,Gourmet Cooks,spice-processing-unit,2,online,small,both,sheet-500
78,"Agritech, Food Processing & Rural Commerce",Cinnamon Sticks D2C,Direct sourcing of premium Ceylon cinnamon,Health Enthusiasts,spice-processing-unit,1,online,solo,both,sheet-500
79,"Agritech, Food Processing & Rural Commerce",Clove Essential Oil,Natural remedy for dental and skin care,Aromatherapy Users,personal-care-brand,,,,,sheet-500
80,"Agritech, Food Processing & Rural Commerce",Nutmeg Powder Packets,Convenient packaging for rare spices,Culinary Enthusiasts,spice-processing-unit,1,online,solo,both,sheet-500
81,"Agritech, Food Processing & Rural Commerce",Cashew Apple Juice,Upcycled beverage from cashew farming,Eco-conscious Drinkers,beverage-brand,,,,,sheet-500
82,"Agritech, Food Processing & Rural Commerce",Kokum Syrup,Traditional cooling summer drink concentrate,Regional Beverage Fans,beverage-brand,,,,,sheet-500
83,"Agritech, Food Processing & Rural Commerce",Aam Papad Candies,Modern packaging for traditional mango leather,Kids and Young Adults,fruit-and-vegetable-processing,,,,,sheet-500
84,"Agritech, Food Processing & Rural Commerce",Tamarind Paste Tubes,Convenient cooking paste for curries,Busy Professionals,pickle-and-papad-brand,,,,,sheet-500
85,"Agritech, Food Processing & Rural Commerce",Ginger Garlic Paste Pods,Single-use fresh cooking base,Students and Bachelors,pickle-and-papad-brand,,,,,sheet-500
86,"Agritech, Food Processing & Rural Commerce",Dehydrated Onion Flakes,Long shelf-life cooking essentials,Campers and Hikers,fruit-and-vegetable-processing,,,,,sheet-500
87,"Agritech, Food Processing & Rural Commerce",Sun-dried Tomato Pesto,Locally made gourmet pasta sauce,Gourmet Foodies,pickle-and-papad-brand,,,,,sheet-500
88,"Agritech, Food Processing & Rural Commerce",Pickled Jalapenos (Local),Locally grown and pickled exotic peppers,Fast Food Outlets,pickle-and-papad-brand,,,,,sheet-500
89,"Agritech, Food Processing & Rural Commerce",Bamboo Shoot Pickle,Northeast Indian specialty condiment,Regional Food Explorers,pickle-and-papad-brand,,,,,sheet-500
90,"Agritech, Food Processing & Rural Commerce",Ghost Pepper Hot Sauce,Extreme spice sauce from Bhut Jolokia,Spice Enthusiasts,pickle-and-papad-brand,,,,,sheet-500
91,"Agritech, Food Processing & Rural Commerce",Fermented Rice Water Skincare,Traditional beauty secret commercialized,Skincare Enthusiasts,personal-care-brand,,,,,sheet-500
92,"Agritech, Food Processing & Rural Commerce",Kombucha with Local Flavors,Probiotic tea with jamun or lychee,Health Conscious Millennials,beverage-brand,,,,,sheet-500
93,"Agritech, Food Processing & Rural Commerce",Kefir Milk Probiotics,Gut-health focused fermented milk,Fitness Enthusiasts,dairy-farm,,,,,sheet-500
94,"Agritech, Food Processing & Rural Commerce",Goat Milk Soap,Gentle natural soap for sensitive skin,People with Eczema/Psoriasis,handmade-soap-and-cosmetics,,,,,sheet-500
95,"Agritech, Food Processing & Rural Commerce",Camel Milk Chocolates,Unique dairy product from Rajasthan,Novelty Food Buyers,sweet-shop,,,,,sheet-500
96,"Agritech, Food Processing & Rural Commerce",Donkey Milk Cosmetics,Premium anti-aging skincare ingredient,Luxury Beauty Consumers,personal-care-brand,,,,,sheet-500
97,"Agritech, Food Processing & Rural Commerce",Quinoa Farming Tech,Support for growing superfoods locally,Progressive Farmers,specialty-crop-farming,,,,,sheet-500
98,"Agritech, Food Processing & Rural Commerce",Chia Seed Cultivation,Local production of high-demand seeds,Health Food Brands,specialty-crop-farming,,,,,sheet-500
99,"Agritech, Food Processing & Rural Commerce",Dragon Fruit Farming,High-yield exotic fruit cultivation,Commercial Orchards,specialty-crop-farming,3,rural,small,full,sheet-500
100,"Agritech, Food Processing & Rural Commerce",Avocado Nursery,Supplying saplings for local avocado farming,Agri-investors,nursery-and-plants,2,rural,small,both,sheet-500
101,"AI, Automation & Tech Services",AI Legal Assistant,Automated contract review for startups,SMEs and Startups,b2b-saas-startup,,,,,sheet-500
102,"AI, Automation & Tech Services",WhatsApp Chatbot for Kiranas,Automated order taking for local shops,Kirana Store Owners,b2b-saas-startup,,,,,sheet-500
103,"AI, Automation & Tech Services",Voice AI for Customer Support,Vernacular voice bots for regional support,E-commerce Companies,b2b-saas-startup,,,,,sheet-500
104,"AI, Automation & Tech Services",Resume Screening AI,Bias-free candidate shortlisting tool,HR Departments,b2b-saas-startup,,,,,sheet-500
105,"AI, Automation & Tech Services",AI Copywriter for Regional Languages,Marketing content in 10+ Indian languages,Digital Marketing Agencies,b2b-saas-startup,,,,,sheet-500
106,"AI, Automation & Tech Services",Automated Invoice Processing,OCR based data entry for accounting,CA Firms,b2b-saas-startup,,,,,sheet-500
107,"AI, Automation & Tech Services",AI Inventory Predictor,Demand forecasting for retail stores,Retail Chains,b2b-saas-startup,,,,,sheet-500
108,"AI, Automation & Tech Services",Smart CCTV for Retail,Footfall and heat map analytics via video,Shopping Malls,deeptech-hardware,,,,,sheet-500
109,"AI, Automation & Tech Services",AI Traffic Management,Smart signal control for smart cities,Municipal Corporations,deeptech-hardware,,,,,sheet-500
110,"AI, Automation & Tech Services",Automated Parking Systems,IoT based parking slot finder,Commercial Complexes,deeptech-hardware,,,,,sheet-500
111,"AI, Automation & Tech Services",AI Crop Disease Detector,Smartphone app to diagnose plant health,Farmers,agritech-devices,,,,,sheet-500
112,"AI, Automation & Tech Services",Veterinary AI Diagnostics,Telemedicine and AI for livestock,Dairy Farmers,agritech-devices,,,,,sheet-500
113,"AI, Automation & Tech Services",AI Astrologer,Personalized automated horoscope readings,Spiritual Consumers,content-and-media-platform,,,,,sheet-500
114,"AI, Automation & Tech Services",Virtual Try-on for Jewelry,AR tool for online jewelry shopping,Jewelry Brands,b2b-saas-startup,,,,,sheet-500
115,"AI, Automation & Tech Services",AI Fashion Stylist,Personalized outfit recommendations,Fashion E-commerce,services-marketplace-app,,,,,sheet-500
116,"AI, Automation & Tech Services",Automated Subtitle Generator (Indic),Fast captioning for regional videos,Content Creators,content-and-media-platform,,,,,sheet-500
117,"AI, Automation & Tech Services",Text-to-Speech for Audiobooks,AI voiceovers for regional literature,Publishing Houses,content-and-media-platform,,,,,sheet-500
118,"AI, Automation & Tech Services",AI Music Generator for Ads,Royalty-free background music creation,Ad Agencies,content-and-media-platform,,,,,sheet-500
119,"AI, Automation & Tech Services",Deepfake Detection Tool,Verifying video authenticity for news,Media Houses,b2b-saas-startup,,,,,sheet-500
120,"AI, Automation & Tech Services",AI Cybersecurity Auditor,Automated vulnerability scanning,IT Companies,b2b-saas-startup,,,,,sheet-500
121,"AI, Automation & Tech Services",Automated Penetration Testing,Continuous security checks for apps,Fintech Startups,b2b-saas-startup,,,,,sheet-500
122,"AI, Automation & Tech Services",AI Phishing Detector,Email security against social engineering,Corporate Enterprises,b2b-saas-startup,,,,,sheet-500
123,"AI, Automation & Tech Services",Smart Contract Auditor,Automated code review for Web3,Blockchain Startups,b2b-saas-startup,,,,,sheet-500
124,"AI, Automation & Tech Services",AI Code Reviewer,Bug detection and code optimization,Software Development Teams,b2b-saas-startup,,,,,sheet-500
125,"AI, Automation & Tech Services",No-Code App Builder,Drag-and-drop app creation for SMEs,Small Business Owners,b2b-saas-startup,,,,,sheet-500
126,"AI, Automation & Tech Services",Low-Code Workflow Automation,Connecting disparate business tools,Operations Managers,b2b-saas-startup,,,,,sheet-500
127,"AI, Automation & Tech Services",RPA for Accounting Firms,Robotic process automation for tax prep,Chartered Accountants,b2b-saas-startup,,,,,sheet-500
128,"AI, Automation & Tech Services",Automated Tax Filing,AI-driven ITR preparation for individuals,Salaried Professionals,b2b-saas-startup,,,,,sheet-500
129,"AI, Automation & Tech Services",AI Expense Tracker,Smart categorization of personal spends,Young Professionals,fintech-startup,,,,,sheet-500
130,"AI, Automation & Tech Services",Sentiment Analysis for Brands,Social media reputation monitoring,PR Agencies,b2b-saas-startup,,,,,sheet-500
131,"AI, Automation & Tech Services",Social Media Listening Tool,Tracking brand mentions in real-time,Brand Managers,b2b-saas-startup,,,,,sheet-500
132,"AI, Automation & Tech Services",AI Influencer Discovery,Matching brands with micro-influencers,D2C Brands,b2b-saas-startup,,,,,sheet-500
133,"AI, Automation & Tech Services",Automated Ad Bidding,AI optimization for digital ad spend,Performance Marketers,b2b-saas-startup,,,,,sheet-500
134,"AI, Automation & Tech Services",AI SEO Optimizer,Automated keyword and content suggestions,Bloggers and Publishers,b2b-saas-startup,,,,,sheet-500
135,"AI, Automation & Tech Services",Content Repurposing AI,Turning blogs into videos and social posts,Content Marketing Teams,b2b-saas-startup,,,,,sheet-500
136,"AI, Automation & Tech Services",AI Video Editor,Automated clipping of long-form podcasts,YouTubers,b2b-saas-startup,,,,,sheet-500
137,"AI, Automation & Tech Services",Automated Podcast Editor,Noise reduction and mastering AI,Podcasters,b2b-saas-startup,,,,,sheet-500
138,"AI, Automation & Tech Services",AI Presentation Builder,Generating slide decks from text prompts,Sales Professionals,b2b-saas-startup,,,,,sheet-500
139,"AI, Automation & Tech Services",Smart Meeting Summarizer,Transcribing and extracting action items,Corporate Teams,b2b-saas-startup,,,,,sheet-500
140,"AI, Automation & Tech Services",AI Email Drafter,Context-aware email response generation,Customer Success Teams,b2b-saas-startup,,,,,sheet-500
141,"AI, Automation & Tech Services",Automated Lead Scraper,Extracting B2B contacts from LinkedIn,Sales Development Reps,b2b-saas-startup,,,,,sheet-500
142,"AI, Automation & Tech Services",AI Sales Coach,Analyzing sales calls for improvement,Sales Managers,b2b-saas-startup,,,,,sheet-500
143,"AI, Automation & Tech Services",Churn Prediction Model,Identifying customers likely to leave,SaaS Companies,b2b-saas-startup,,,,,sheet-500
144,"AI, Automation & Tech Services",Dynamic Pricing Engine,Real-time price adjustment based on demand,E-commerce and Travel,b2b-saas-startup,,,,,sheet-500
145,"AI, Automation & Tech Services",AI Recommendation System,Personalized product suggestions API,Mid-sized E-tailers,b2b-saas-startup,,,,,sheet-500
146,"AI, Automation & Tech Services",Personalized Newsletter AI,Curating content per subscriber preference,Media Publications,b2b-saas-startup,,,,,sheet-500
147,"AI, Automation & Tech Services",Automated Survey Analyzer,Extracting insights from open-ended feedback,Market Research Firms,b2b-saas-startup,,,,,sheet-500
148,"AI, Automation & Tech Services",AI Focus Group Moderator,Virtual moderation of consumer research,Product Managers,b2b-saas-startup,,,,,sheet-500
149,"AI, Automation & Tech Services",Virtual Event Platform,AI networking and matchmaking at events,Event Organizers,community-and-social-app,,,,,sheet-500
150,"AI, Automation & Tech Services",AI Matchmaking for B2B,Connecting vendors with corporate buyers,Procurement Officers,b2b-saas-startup,,,,,sheet-500
151,"Green Tech, Renewable Energy & EV Ecosystem",Solar Panel Cleaning Robots,Automated maintenance for solar farms,Solar Park Operators,deeptech-hardware,,,,,sheet-500
152,"Green Tech, Renewable Energy & EV Ecosystem",EV Battery Swapping Stations,Quick battery exchange for 2-wheelers,Gig Economy Riders,ev-charging-and-rental,,,,,sheet-500
153,"Green Tech, Renewable Energy & EV Ecosystem",Electric Scooter Rentals,App-based micro-mobility solutions,College Students,ev-charging-and-rental,,,,,sheet-500
154,"Green Tech, Renewable Energy & EV Ecosystem",EV Charging Aggregator App,Locating and paying for EV charging,EV Owners,services-marketplace-app,,,,,sheet-500
155,"Green Tech, Renewable Energy & EV Ecosystem",Retrofitting ICE to EV,Converting old petrol scooters to electric,Budget-conscious Commuters,ev-assembly,,,,,sheet-500
156,"Green Tech, Renewable Energy & EV Ecosystem",Biogas Plant for Apartments,Converting society organic waste to cooking gas,Housing Societies,recycling-and-waste,,,,,sheet-500
157,"Green Tech, Renewable Energy & EV Ecosystem",Smart Water Meters,IoT devices to track and reduce water usage,Municipalities,industrial-solutions,,,,,sheet-500
158,"Green Tech, Renewable Energy & EV Ecosystem",Rainwater Harvesting Tech,Modern modular systems for urban homes,Independent Homeowners,industrial-solutions,,,,,sheet-500
159,"Green Tech, Renewable Energy & EV Ecosystem",Greywater Recycling System,Reusing bath water for flushing,Green Building Developers,industrial-solutions,,,,,sheet-500
160,"Green Tech, Renewable Energy & EV Ecosystem",Plastic Waste to Tiles,Manufacturing paving blocks from recycled plastic,Construction Companies,recycling-and-waste,,,,,sheet-500
161,"Green Tech, Renewable Energy & EV Ecosystem",E-Waste Recycling Pickup,Organized collection of electronic waste,Corporate Offices,recycling-and-waste,,,,,sheet-500
162,"Green Tech, Renewable Energy & EV Ecosystem",Biodegradable Packaging,Alternatives to single-use plastic wraps,FMCG Brands,eco-friendly-products-brand,,,,,sheet-500
163,"Green Tech, Renewable Energy & EV Ecosystem",Edible Cutlery,Spoons and forks made from grains,QSRs and Caterers,eco-friendly-products-brand,,,,,sheet-500
164,"Green Tech, Renewable Energy & EV Ecosystem",Bamboo Toothbrush Subscription,Regular delivery of eco-friendly oral care,Eco-conscious Families,eco-friendly-products-brand,,,,,sheet-500
165,"Green Tech, Renewable Energy & EV Ecosystem",Menstrual Cup D2C,Sustainable feminine hygiene products,Young Women,personal-care-brand,,,,,sheet-500
166,"Green Tech, Renewable Energy & EV Ecosystem",Reusable Cloth Pads,Washable sanitary pads for rural/urban use,Environmentally Aware Women,personal-care-brand,,,,,sheet-500
167,"Green Tech, Renewable Energy & EV Ecosystem",Organic Cotton Tampons,Chemical-free biodegradable tampons,Urban Working Women,personal-care-brand,,,,,sheet-500
168,"Green Tech, Renewable Energy & EV Ecosystem",Eco-friendly Cleaning Liquids,Toxin-free home cleaning solutions,Health-conscious Homemakers,home-cleaning-products-brand,,,,,sheet-500
169,"Green Tech, Renewable Energy & EV Ecosystem",Soapnuts (Reetha) Detergent,Natural laundry washing alternative,Zero-waste Enthusiasts,home-cleaning-products-brand,,,,,sheet-500
170,"Green Tech, Renewable Energy & EV Ecosystem",Bio-Enzyme Cleaners,Fermented citrus cleaners for home,Eco-conscious Consumers,home-cleaning-products-brand,,,,,sheet-500
171,"Green Tech, Renewable Energy & EV Ecosystem",Upcycled Furniture,Restoring and modernizing old furniture,Budget Homeowners,upcycled-furniture,2,local,small,both,sheet-500
172,"Green Tech, Renewable Energy & EV Ecosystem",Refurbished Electronics Marketplace,Certified second-hand laptops and phones,Students and SMEs,sneaker-and-streetwear-resale,,,,,sheet-500
173,"Green Tech, Renewable Energy & EV Ecosystem",Second-hand Clothes App,Thrift store platform for Gen Z,Gen Z Consumers,online-thrift-store,,,,,sheet-500
174,"Green Tech, Renewable Energy & EV Ecosystem",Rent-a-Dress Platform,Designer wear rental for occasions,Wedding Guests,clothing-rental,2,online,small,both,sheet-500
175,"Green Tech, Renewable Energy & EV Ecosystem",Toy Library Subscription,Renting educational toys to reduce waste,Parents of Toddlers,toys-and-games-brand,,,,,sheet-500
176,"Green Tech, Renewable Energy & EV Ecosystem",Book Swap Network,Platform to exchange read books,Avid Readers,used-book-store,1,online,solo,side,sheet-500
177,"Green Tech, Renewable Energy & EV Ecosystem",Tool Library for DIY,Renting power tools instead of buying,DIY Enthusiasts,equipment-rental-business,,,,,sheet-500
178,"Green Tech, Renewable Energy & EV Ecosystem",Solar Water Heaters,Affordable thermal heating for rural homes,Tier 2/3 Residents,solar-installation,,,,,sheet-500
179,"Green Tech, Renewable Energy & EV Ecosystem",Wind Turbine for Homes,Micro wind energy generation,Off-grid Properties,solar-installation,,,,,sheet-500
180,"Green Tech, Renewable Energy & EV Ecosystem",Micro-Hydro Generators,Power generation from small streams,Hilly Region Residents,solar-installation,,,,,sheet-500
181,"Green Tech, Renewable Energy & EV Ecosystem",Energy Audit Services,Consulting to reduce corporate power bills,Manufacturing Units,sustainability-consulting,,,,,sheet-500
