ref,action,name,pitch
S2E2P158,rename,Soup Meals Brand,
S2E3P159,rename,Kombucha Brand,
S2E3P160,rename,Regional Language OTT,
S2E4P162,skip,,
S2E4P163,rename,Homemade Snacks Brand,
S2E5P165,rename,At-Home Beauty Devices,
S2E6P168,skip,,
S2E6P169,rename,MSME Scheme Discovery Platform,
S2E6P170,rename,Puranpoli Snacks,
S2E7P171,rename,Kids Learning Companion,
S2E7P172,rename,Fresh Salad Delivery,
S2E8P174,rename,Accessibility Platform for Disabled People,
S2E8P175,rename,Lucknow Artisan Crafts,
S2E8P176,rename,DNA-Engraved Jewellery,
S2E9P178,skip,,
S2E10P179,rename,Gemstone Jewellery,
S2E10P180,rename,Credit Score Platform,
S2E11P183,rename,Android Apps for Windows,
S2E12P187,rename,Indian Automatic Watches,
S2E13P190,rename,Diabetic-Friendly Foods,
S2E14P191,rename,Smart Walking Stick,
S2E14P192,rename,Parathas & Pakodas Outlet,
S2E15P194,rename,Candy & Toy Brand,
S2E16P197,skip,,
S2E19P207,skip,,
S2E20P211,rename,Studio Gym,
S2E21P213,rename,Cake Slices Brand,
S2E21P215,rename,Online Custom Tailoring,
S2E21P216,rename,Platform for LGBTQ+ Creators,
S2E22P217,rename,Domestic Help Platform,
S2E22P219,skip,,
S2E23P220,rename,Sanitary Pad Disposal Units,
S2E23P221,rename,Clay Utensils & Cookware,
S2E23P222,rename,Live Skill Classes Platform,
S2E25P227,rename,Online Scrap Selling Platform,
S2E26P231,rename,Campus Hiring Platform,
S2E27P236,rename,Esports & Gaming Organisation,
S2E28P237,rename,Cool-Ground Spices,
S2E28P238,rename,Traditional Indian Games,
S2E28P239,rename,No-Code Metaverse Builder,
S2E29P242,rename,Fresh Dairy Products Brand,
S2E30P244,rename,Cycle-to-EV Conversion Kit,
S2E31P247,rename,Doctor Booking & Teleconsult App,
S2E31P248,rename,Temple Flower Incense,
S2E32P249,rename,Artisan-Direct Crafts Store,
S2E32P250,rename,Home & Travel Organisers,
S2E32P252,rename,Experiential Travel Website,
S2E33P254,rename,Baked Chips,
S2E34P256,rename,Electric Toothbrush Brand,
S2E34P258,rename,AI Vision Therapy,
S2E35P259,rename,Healthcare Super App,
S2E35P262,rename,Toy Store,
S2E36P265,rename,AR Books for Kids,
S2E37P266,rename,Health & Wellness Store,
S2E37P269,rename,Contamination Control Products,
S2E38P270,rename,Spirits & Cocktail Blends,
S2E38P271,rename,Italian Cheese Brand,
S2E38P272,rename,Fuel Station Queue Management,
S2E38P273,rename,EV Subscription Service,
S2E39P274,rename,High-Protein Foods,
S2E39P275,rename,Online Pharmacy,
S2E39P277,rename,Incense Brand,
S2E40P278,rename,Anonymous Social Network,
S2E40P279,rename,Turkish Ice Cream,
S2E40P280,rename,Crop Protection Products,
S2E41P282,rename,Post-Transplant Care,
S2E41P283,rename,3D Printing Service,
S2E41P284,rename,Wellness Snack Bites,
S2E42P285,rename,Craft Brewery,
S2E42P286,rename,Frozen Cooking Cubes,
S2E42P287,rename,Metro Shuttle Service,
S2E42P288,rename,Online Skill Courses,
S2E43P291,rename,Camel & Goat Milk Brand,
S2E44P293,rename,Dry Fruits & Snacks Store,
S2E44P294,rename,Kids Stationery & Toy Store,
S2E44P296,rename,Ice Cream for Pets,
S2E45P297,rename,Smart Kitchen Appliances,
S2E45P298,rename,IUI Fertility Tech,
S2E45P299,rename,Sikh Grooming Products,
S2E46P300,rename,Cricket Gear Shop,
S2E46P302,rename,Photography Service,
S2E47P304,rename,Hourly Hotel Booking,
S2E47P306,rename,Bookstore,
S2E49P311,rename,Modest Fashion for Women,
S2E49P312,rename,Smart Wheelchair,
S2E49P313,rename,Vegan High-Protein Foods,
S2E49P314,rename,Handmade Cotton Bags,
S2E50P315,rename,Human Hair Extensions,
S2E50P316,rename,Smart Bikes,
S2E51P318,rename,Ayurvedic Skincare & Makeup,
S2E51P319,rename,Fruit Wines,
S2E51P320,rename,Girls' Dresses,
S3E1P323,rename,Perfumes & Attar,
S3E2P326,rename,Gym Chain,
S3E2P327,rename,Tech Interview Platform,
S3E3P328,rename,Taxi Service for Small Towns,
S3E3P330,rename,Student Housing App,
S3E4P331,rename,Smart Clothing,
S3E5P334,rename,Virtual Restaurant Brands,
S3E5P335,rename,Personal Safety App,
S3E6P338,rename,DIY Kits for All Ages,
S3E6P339,rename,Ayurvedic Navel Oils,
S3E7P340,skip,,
S3E7P342,rename,Hearing Aids,
S3E8P343,rename,Chocolate Drink Mixes,
S3E8P344,rename,Customer-as-Influencer Platform,
S3E9P346,rename,Veg Pizza Chain,
S3E9P347,rename,Hydrogen Car R&D,
S3E10P349,skip,,
S3E10P351,rename,AI Drones,
S3E11P353,rename,Scalp Cooling for Chemo Patients,
S3E11P354,rename,Teen Makeup Brand,
S3E12P357,rename,Men's Innerwear,
S3E13P359,rename,Letter Writing Service,
S3E13P360,rename,Mushroom Growing Kits,
S3E14P362,rename,Tailoring Academy,
S3E14P363,rename,Longevity Supplements,
S3E15P364,rename,Fabric Jewellery,
S3E16P369,rename,OCR Software,
S3E17P372,skip,,
S3E18P374,rename,Mosquito Breeding Control,
S3E18P375,rename,Car Care App,
S3E19P376,rename,Salon Booking App,
S3E19P377,rename,Waterless Urinals,
S3E20P379,rename,Sports Academy for Kids,
S3E20P380,rename,AI Tools for Beauty Brands,
S3E20P381,rename,Medical Cannabis Products,
S3E21P382,rename,DIY Food Kits,
S3E22P385,rename,Innerwear for Teen Girls,
S3E22P387,skip,,
S3E23P389,rename,Anger Management Rooms,
S3E24P393,rename,Jaipur Traditional Clothing,
S3E25P394,rename,Follow-Me Smart Suitcase,
S3E25P395,rename,Calculator-Linked Accounting App,
S3E26P399,rename,Fabric Sourcing Service,
S3E27P401,rename,Concrete Road Mats,
S3E27P402,rename,Pancake QSR,
S3E28P403,rename,Sticker Brand,
S3E28P404,rename,Men's Fashion Rental,
S3E29P406,rename,Yoga Accessories,
S3E29P407,rename,Cervical Cancer Test Kits,
S3E30P409,rename,Skincare Clinic,
S3E30P411,rename,Hydroponic Farm,
S3E31P412,rename,Brewed Iced Tea,
S3E31P413,rename,AI Image Generation Tool,
S3E31P414,rename,Flex-Fuel Bikes,
S3E32P416,rename,Energy Bars Brand,
S3E32P417,rename,Gym Membership Aggregator,
S3E35P424,rename,Fast Fashion D2C Brand,
S3E35P425,rename,Custom Cakes,
S3E36P427,rename,DIY Lipstick Kits,
S3E36P428,rename,Online Saree Store,
S3E37P430,rename,Online Dispute Resolution,
S3E37P431,rename,Fabric from Poultry Waste,
S3E37P432,rename,4D Learning Content,
S3E38P433,rename,Instant Tea Cups,
S3E38P435,rename,Pain Management Platform,
S3E39P436,rename,Sustainable Materials R&D,
S3E39P437,skip,,
S3E39P438,rename,Indian Craft Rum,
S3E40P439,rename,Muesli & Granola Brand,
S3E40P440,rename,Men's Sexual Wellness,
S3E40P441,rename,Quit-Smoking Tablets,
S3E41P442,rename,Wildlife Deterrent Lights,
S3E41P443,rename,AI EdTech Platform,
S3E42P445,rename,Tactical Clothing,
S3E42P447,rename,Wellness Journals & Planners,
S3E43P448,rename,Newborn Vital Monitor,
S3E43P449,skip,,
S3E44P451,rename,Natural Cooling Systems,
S3E44P452,rename,Farm Robotics,
S3E44P453,rename,Intimacy Furniture,
S3E45P455,rename,Ready-to-Eat Popcorn,
S3E46P457,skip,,
S3E46P458,rename,Smart Fuel Caps,
S3E47P460,rename,Websites for Kirana Stores,
S3E47P461,skip,,
S3E47P462,rename,Virtual Influencers for Brands,
S3E48P463,rename,Organic Diapers,
S3E48P465,rename,Intimate Wear,
S3E49P466,rename,IIT-JEE Coaching,
S3E49P467,skip,,
S3E50P469,rename,Neon Sign Studio,
S3E50P470,rename,Copper & Brass Kitchenware,
S3E50P471,rename,Trucker & Fleet App,
S3E51P472,rename,Smart Cleaning Device,
S3E52P476,skip,,
S3E52P478,rename,Plant Compliance Software,
S4E1P479,skip,,
S4E1P480,rename,Premium Confectionery,
S4E1P481,rename,Luxury Resale App,
S4E2P482,rename,Fabric Store,
S4E2P483,rename,Affordable Sneaker Store,
S4E2P484,rename,Employee Healthcare Plans,
S4E3P485,skip,,
S4E3P486,rename,Guilt-Free Ice Cream,
S4E3P487,rename,E-Bike Sharing,
S4E4P488,rename,Organic Jaggery Sweets,
S4E4P489,rename,AC Air Purifiers,
S4E4P490,rename,Home Services Request App,
S4E5P492,rename,"Skin, Body & Home Care",
S4E5P493,rename,Organic Grocery Store,
S4E6P494,rename,Trekking Gear,
S4E6P495,rename,AI Personal Assistant,
S4E6P496,rename,Affordable Cheesecakes,
S4E7P497,rename,Modular Kitchens,
S4E7P499,rename,Creative Toys & Games,
S4E8P501,skip,,
S4E10P505,rename,College Application Mentoring,
S4E10P506,rename,Affordable Electric Motorcycles,
S4E10P507,rename,Personalised Gifts,
S4E11P510,rename,Pre-Owned Gaming Consoles,
S4E12P512,rename,Building Restoration Services,
S4E12P513,rename,Sneaker Care Products,
S4E13P514,rename,Affordable Prosthetics,
S4E13P516,rename,Smart Billing Machines,
S4E14P518,rename,2D Animation Studio,
S4E14P519,rename,Autism Screening,
S4E15P520,rename,Rechargeable Lamps,
S4E15P521,rename,Fee Reminder Software,
S4E15P522,rename,Vitamin Patches,
S4E16P523,rename,Kids & Teen Personal Care,
S4E16P524,rename,Musculoskeletal Wearables,
S4E16P525,rename,Pre-Draped Sarees,
S4E17P526,rename,Ride-On Power Reaper,
S4E17P528,rename,Pickleball Paddles & Courts,
S4E18P529,rename,High-Protein Breakfast,
S4E18P530,rename,Cricket Gaming Console,
S4E18P531,rename,Soya Chaap Outlet,
S4E19P534,rename,Bagless Tea Dips,
S4E20P536,rename,Body-Type Womenswear,
S4E21P538,rename,Cricket Batting Sensor,
S4E22P541,skip,,
S4E22P543,rename,Solar Dryers,
S4E23P544,rename,Riding Apparel,
S4E23P545,rename,Undergarment Wash,
S4E24P547,skip,,
S4E24P548,rename,Bubble Tea,
S4E24P549,rename,Quirky Accessories,
S4E25P551,rename,Skateboard Store,
S4E25P552,rename,Juice & Smoothie Bar,
S4E26P553,rename,Waste Reduction Platform,
S4E26P554,rename,Mukhwas & Mouth Fresheners,
S4E26P555,rename,English School for Kids,
S4E27P556,rename,DIY Science Toys,
S4E27P557,rename,Desi Food Restaurant,
S4E27P558,rename,Women-Woven Silk,
S4E28P560,rename,Assistive Tech for the Visually Impaired,
S4E28P561,rename,Luxury Fashion,
S4E29P562,rename,Affordable Designer Decor,
S4E29P563,rename,Home Espresso Machines,
S4E30P565,rename,Biofortified Atta,
S4E30P566,rename,Women's Lifestyle Products,
S4E30P567,skip,,
S4E31P568,rename,Used Books Marketplace,
S4E31P570,rename,Cooling Vests,
S4E32P572,rename,Telescopes & Binoculars,
S4E32P573,rename,Sarees & Kurtas Brand,
S4E33P574,skip,,
S4E33P575,skip,,
S4E33P576,rename,Dental Veneers,
S4E35P580,rename,Ayurvedic Hair Oil,
S4E35P581,rename,Solar Equipment Service,
S4E35P582,rename,Plant-Based Home Cleaners,
S4E36P583,skip,,
S4E36P584,rename,Book Platform,
S4E36P585,rename,Hand-Painted Handloom,
S4E37P586,rename,Startup News Site,
S4E37P587,rename,Artisanal Cheese,
S4E38P589,skip,,
S4E38P590,skip,,
S4E38P591,skip,,
S4E39P592,rename,Car Seat Comfort Products,
S4E39P594,rename,Farmer E-Commerce Platform,
S4E41P598,rename,Skin & Hair Supplements,
S4E41P599,rename,Brain Training Games,
S4E41P600,rename,Luxury Catering,
S4E42P601,rename,Matcha Brand,
S4E42P602,rename,Dental Clinic,
S4E42P603,rename,Jamun Superfood Products,
S4E43P604,rename,E-Textile Fashion,
S4E43P605,rename,Weight Management Program,
S4E43P606,rename,Homemade Delicacies,
S4E44P608,rename,Co-Living & Co-Working,
S4E44P609,rename,Pure Spices Brand,
S4E45P610,rename,Kidswear Brand,
S4E45P611,rename,Women's Safety Wearables,
S4E45P612,rename,Shilajit Supplements,
S4E45P613,rename,Handbags Brand,
S4E46P614,rename,Tiles Showroom,
S4E46P615,rename,Jewellery for Deities,
S4E46P616,rename,Borewell Water Solutions,
S4E47P617,rename,3D Home Design Service,
S4E47P618,rename,Sales Training School,
S4E47P619,rename,Borosilicate Bottles & Lunch Boxes,
S4E48P620,rename,Low-Maintenance Rugs,
S4E48P621,rename,Women's Footwear,
S4E48P622,rename,Nicotine-Free Smoking Alternative,
S4E49P623,rename,Protein Snacks,
S4E49P624,rename,Affordable Menswear,
S4E50P626,skip,,
S4E50P627,skip,,
S4E50P628,rename,Himalayan Whisky,
S4E51P629,rename,Bioplastics,
S4E51P630,skip,,
S4E51P631,rename,Recycled Paper Stationery,
S4E52P632,rename,Art by Neurodivergent Artists,
S4E52P633,rename,Prosthetic Arms,
S5E1P636,rename,Natural Skincare & Haircare,
S5E1P637,skip,,
S5E2P638,rename,Emotional Learning Toys,
S5E2P639,rename,Community Travel Trips,
S5E2P640,rename,Baby Gear Brand,
S5E3P641,rename,Card Rewards Optimiser,
S5E3P642,rename,Aerial Vehicle R&D,
S5E3P643,rename,Men's Intimate Wear,
S5E4P645,rename,Smart Planters,
S5E4P646,rename,AI Toys for Kids,
S5E6P649,skip,,
S5E7P651,skip,,
S5E7P652,rename,Fish Feed Brand,
S5E7P653,skip,,
S5E8P655,rename,Spine Injury Device,
S5E9P657,rename,Roblox Game Studio,
S5E9P658,skip,,
S5E10P660,skip,,
S5E10P661,rename,Protein Bars,
S5E10P662,skip,,
S5E11P663,rename,AI Diagnostics,
S5E11P664,rename,Wrestling Fan Events,
S5E11P665,rename,Ayurvedic Supplements & Beauty,
S5E12P666,skip,,
S5E12P667,rename,GenAI Content Studio,
S5E12P668,rename,QR Vehicle Tags,
S5E13P669,rename,Stock Discovery App,
S5E13P670,rename,AI Stock Research,
S5E14P671,rename,Prefab Construction,
S5E14P672,rename,Milk Adulteration Test Kit,
S5E14P673,rename,Emergency Health Service,
S5E15P674,rename,Handcrafted Shoes,
S5E15P675,rename,AI Clothes Try-On,
S5E15P676,rename,Digital Facade Displays,
S5E16P678,rename,Alum Deodorants,
S5E16P679,rename,VR for Schools,
S5E17P680,rename,Nasal Strips,
S5E17P681,rename,Body Tape Brand,
S5E17P682,rename,Destination Wedding Planning,
S5E18P683,rename,Acid-Free Home Cleaners,
S5E18P684,rename,All-in-One Beauty Brand,
S5E18P685,rename,Premium Mixers,
S5E19P687,rename,Magnesium Wellness Products,
S5E19P688,rename,Fasting Coaching Program,
S5E20P689,rename,Driving Simulator,
S5E20P690,rename,Cattle Grooming Brushes,
S5E20P691,rename,Ayurvedic Beauty & Haircare,
S5E21P692,rename,Homemade Cookies,
S5E21P693,rename,Gyrocopter Manufacturing,
S5E21P694,rename,Smart Ring,
S5E22P695,rename,Shapewear Brand,
S5E23P697,rename,Handcrafted Bangles,
S5E23P698,rename,Kids Ayurvedic Makeup,
S5E24P700,rename,Hemp Wellness Products,
S5E24P701,rename,Wet Waste Composter,
S5E25P704,rename,Marinades & Spices,
S5E25P705,rename,Offline Meetup Platform,
S5E26P707,rename,Handcrafted Bindis,
S5E26P708,rename,AI Sales Agent,
S5E27P709,rename,AI Learning Companion,
S5E27P710,rename,UPI Expense Manager,
S5E27P711,rename,Farm-to-Bottle Beverages,
S5E28P712,rename,Private Celebration Theatre,
S5E28P714,skip,,
S5E29P715,rename,Army-Inspired Apparel,
S5E29P717,skip,,
S5E30P718,rename,Fashion Quick Commerce,
S5E30P719,rename,Indian Arts Culture Platform,
S5E31P721,rename,Relief Mural Decor,
S5E31P723,rename,Custom Kids Bags,
S5E33P727,rename,Construction Robotics,
S5E33P728,rename,Modest Wear Brand,
S5E33P729,rename,Smart Packaging,
S5E34P732,rename,Stock Tips App,
S5E35P733,rename,Special Needs Therapy for Kids,
S5E35P734,rename,AI Software Studio,
S5E35P735,rename,AI Parenting App,
S5E36P737,rename,Organic Latex Mattresses,
S5E36P738,rename,AI Content Localisation,
S5E36P739,rename,Vegetarian QSR Chain,
S5E37P741,rename,Hobby Clubs,
S5E38P743,rename,Instant Curry Pastes,
S5E38P744,rename,AI Dubbing,
S5E39P746,rename,Paediatric Therapy Services,
S5E39P747,rename,Rental Wear,
S5E39P748,rename,Call Mirroring Devices,
S5E40P749,rename,Edible-Grade Toothpaste,
S5E40P750,rename,Home Neuro Rehab,
S5E40P751,rename,Helmet Sanitiser Device,
S5E41P752,rename,Eggless Cakes & Desserts,
S5E41P753,rename,Smart Tap Cards,
S5E41P754,rename,Women's Fitness App,
S5E42P755,rename,Collectible Figures,
S5E42P756,rename,AI Trip Planner,
S5E42P757,rename,Fruit Spreads,
S5E43P758,rename,Family Co-Working Hub,
S5E43P760,rename,AI Lending Platform,
S5E44P761,rename,Sea-Buckthorn Wellness,
S5E44P762,rename,Hair Patches,
S5E44P763,rename,Clean Home & Personal Care,
S5E45P765,rename,Kids Nutrition Snacks,
S5E45P767,rename,Soil Testing Tools,
S5E46P769,rename,Capsule Pod Hotels,
S5E46P770,skip,,
S5E47P771,rename,Home Fresheners,
S5E47P773,rename,Collectible Currency Marketplace,
S5E48P774,rename,XR Commerce Studio,
S5E48P775,rename,Home Sauna,
S5E48P776,rename,Co-Living Spaces,
S5E49P777,rename,Korean Beauty Brand,
S5E49P779,rename,Marble Home Decor,
S5E50P780,rename,Women's Activewear,
S5E50P781,rename,Home Fertility Test Kits,
S5E50P782,rename,Cow Dung Collection Devices,
S5E51P783,skip,,
S5E51P784,skip,,
S5E51P785,rename,Afforestation Services,
S5E52P786,skip,,
S5E52P787,rename,Crochet Gifts,
S5E52P788,rename,Pet GPS & Health Tracker,
S5E52P789,rename,Student Opportunities App,
odop:agri-implement,rename,Farm Implements Manufacturing,
odop:automobile,skip,,
odop:apparel-jacket-jean,rename,Jackets & Jeans Manufacturing,
odop:applique-work-along-patch-work-zari-patch-work-mentha,skip,,
odop:bag-garment,rename,Bags & Garments Unit,
odop:bamboo,rename,Bamboo Products,
odop:bell-metal-dhokra,rename,Bell Metal Dhokra Crafts,
odop:carpet,rename,Hand-Woven Carpets,
odop:ceramic-product,rename,Ceramic Products,
odop:chilli,rename,Chilli Brand,
odop:chilli-mizo,rename,Mizo Chilli Brand,
odop:cotton,rename,Cotton Ginning Unit,
odop:cotton-ginning-pressing,skip,,
odop:cotton-based-processing-ginning-garmenting,skip,,
odop:cotton-cotton-seed-oil,rename,Cottonseed Oil Brand,
odop:cotton-jean-pant,rename,Cotton & Denim Pants,
odop:decorative-product,skip,,
odop:embroidery,rename,Embroidery Studio,
odop:food-processing-papaya,rename,Papaya Processing,
odop:food-processing-pulse,skip,,
odop:fish-product,rename,Fish Products Processing,
odop:fisherie,skip,,
odop:handicraft-stone-carving,skip,,
odop:handicraft-horn-bone,rename,Horn & Bone Crafts,
odop:handicraft-tribal,rename,Tribal Handicrafts,
odop:home-decorative-good,skip,,
odop:home-furnishing-made-eri-muga-assam-silk-etc,rename,Eri & Muga Silk Home Furnishings,
odop:jute,rename,Jute Products,
odop:kosa,rename,Kosa Silk,
odop:lac,rename,Lac Products,
odop:marine-queen-fish,rename,Queen Fish Processing,
odop:mentha,rename,Mentha Oil,
odop:menthol,rename,Menthol Crystals,
odop:natural-oil-lavender,rename,Lavender Oil,
odop:oil-agar,skip,,
odop:oil-himachali-chulli,rename,Wild Apricot (Chulli) Oil,
odop:packaging-corrugated-boxe,skip,,
odop:pearl,rename,Pearl Jewellery,
odop:risha,rename,Risha Weaves,
odop:shoe,skip,,
odop:silver-filigree,rename,Silver Filigree,
odop:tangail-jamdani-saree-shantipore-saree,rename,Tangail & Jamdani Sarees,
odop:teak,rename,Teak Furniture,
odop:terracotta,rename,Terracotta Crafts,
odop:textile-yarn,skip,,
odop:textile-home-made-ups,rename,Home Textiles,
odop:textile-made-ups,skip,,
odop:textile-towel,rename,Towel Manufacturing,
odop:tourism-medical-religiou,rename,Medical & Religious Tourism,
odop:toy-laiphadibi,rename,Laiphadibi Dolls,
odop:wooden-toy-wood-art-product,skip,,
odop:woodcraft,skip,,
odop:wooden-carving,rename,Wood Carving,
odop:woollen-product,rename,Woollen Products,
odop:zari-zardozi,rename,Zari Zardozi Work,
odop:rice-jiraphul-bisni-etc,rename,Jiraphul Rice Brand,
odop:rice-based-product-poha-etc,rename,Poha & Rice Products,
odop:queen-pineapple-pineapple-based-product,rename,Queen Pineapple Processing,
odop:processing-indian-gooseberry-amla,skip,,
odop:processing-seabuckthorn-charma,rename,Seabuckthorn Processing,
odop:poultry-feed-product,rename,Poultry Feed Unit,
odop:plate-bowl-made-areca-nut-leaf-sheath,skip,,
odop:scented-glutoniou-rice,rename,Scented Rice Brand,
odop:stale-stone-tile,rename,Slate Stone Tiles,
odop:granite,skip,,
odop:nut-groundnut,skip,,
odop:mustard-seed,skip,,
odop:orthodox-tea-black-green-tea,rename,Orthodox & Green Tea Brand,
odop:dehydrated-vegetable-onion,skip,,
odop:handloom-powerloom-product,rename,Powerloom Textiles,
odop:handloom-product-silk-cotton,skip,,
odop:sanitary-fitting,rename,Sanitary Fittings Unit,
odop:gauze-cloth,rename,Gauze & Medical Cloth,
odop:cloth-jacket,rename,Jacket Manufacturing,
odop:srikalahasthi-kalamkari-fabric-handicraft,rename,Srikalahasthi Kalamkari,
odop:wood-craft-temple-imitiation,rename,Temple Woodcraft,
odop:stainles-steel-utensil-kitchen-ware,skip,,
odop:ankle-bell-ghungroo-bell-bras-product,rename,Ghungroo & Brass Bells,
odop:musical-instrument-dholak,rename,Dholak Making,
odop:aamla-product,rename,Amla Processing,
odop:agate-stone,rename,Agate Stone Crafts,
odop:bellary-denim-jean,rename,Bellary Denim Jeans Unit,
odop:cut-stone,rename,Cut Stone Supply,
odop:embroidery-sequence-ladie-garment,rename,Sequin Embroidered Garments,
odop:fastner-machine-tool,rename,Fasteners & Machine Tools,
odop:cotton-product-ball-swab,rename,Cotton Balls & Swabs,
odop:nagali-product,rename,Nagali (Ragi) Products,
