state,district,product,idea_slug
Arunachal Pradesh,Lower Siang,Turmeric,spice-processing-unit
Arunachal Pradesh,Lower Subansiri,Kiwi,fruit-and-vegetable-processing
Arunachal Pradesh,Namsai,Turmeric,spice-processing-unit
Arunachal Pradesh,Pakke Kessang,Ginger,spice-processing-unit
Arunachal Pradesh,Papum Pare,Turmeric,spice-processing-unit
Arunachal Pradesh,Shi Yomi,Kiwi,fruit-and-vegetable-processing
Arunachal Pradesh,Siang,Large Cardamom,spice-processing-unit
Arunachal Pradesh,Tawang,Chillies,spice-processing-unit
Arunachal Pradesh,Tirap,Ginger,spice-processing-unit
Arunachal Pradesh,Upper Siang,Orange,fruit-and-vegetable-processing
Arunachal Pradesh,Upper Subansiri,Orange,fruit-and-vegetable-processing
Arunachal Pradesh,West Kameng,Apple,fruit-and-vegetable-processing
Arunachal Pradesh,West Siang,Pineapple,fruit-and-vegetable-processing
Assam,Bajali,Rice,agro-processing-unit
Assam,Baksa,Honey,honey-and-organic-produce
Assam,Barpeta,Bell Metal Products,handcrafted-home-decor
Assam,Biswanath,Tea,beverage-brand
Assam,Bongaigaon,Maize,agro-processing-unit
Assam,Cachar,Scented and Glutonious Rice,agro-processing-unit
Assam,Charaideo,Aromatic Rice,agro-processing-unit
Assam,Chirang,Lemon,fruit-and-vegetable-processing
Assam,Darrang,Vegetables,fruit-and-vegetable-processing
Assam,Dhemaji,Red Rice,agro-processing-unit
Assam,Dhubri,Chilly,spice-processing-unit
Assam,Dibrugarh,Organic Tea,beverage-brand
Assam,Dima Hasao,Ginger,spice-processing-unit
Assam,Goalpara,Banana,fruit-and-vegetable-processing
Assam,Golaghat,Agarwood & Its Derivatives,handcrafted-home-decor
Assam,Hailakandi,Arecanut,agro-processing-unit
Assam,Hojai,Jaggery,honey-and-organic-produce
Assam,Jorhat,Bhoot Jholokia,spice-processing-unit
Assam,Kamrup (M),"Home Furnishing made of Eri , Muga & Assam Silk, etc.",handloom-textiles-brand
Assam,Kamrup(R),Banana,fruit-and-vegetable-processing
Assam,Karbi Anglong,Ginger,spice-processing-unit
Assam,Karimganj,Plates and Bowls made of Arecanut Leaf Sheath,eco-friendly-products-brand
Assam,Kokrajhar,Mushroom,mushroom-farming
Assam,Lakhimpur,Handloom Products of Silk & Cotton,handloom-textiles-brand
Assam,Majuli,Mustard Seeds,cold-pressed-oil-mill
Assam,Morigaon,Maize,agro-processing-unit
Assam,Nagaon,Pearl,jewellery-brand
Assam,Nalbari,Rice & Rice Products,agro-processing-unit
Assam,Sivasagar,Rice & Rice Products,agro-processing-unit
Assam,Sonitpur,"Parboiled Rice , Steam Rice & all Rice products",agro-processing-unit
Assam,South Salamara- Mankachar,Processed cashew nuts,agro-processing-unit
Assam,Tamulpur,Honey,honey-and-organic-produce
Assam,Tinsukia,Assam Lemon,fruit-and-vegetable-processing
Assam,Udalguri,Orthodox Tea (black) and Green Tea,beverage-brand
Assam,West Karbi Anglong,Ginger,spice-processing-unit
Bihar,Araria,Jute,eco-friendly-products-brand
Bihar,Arwal,Mushroom,mushroom-farming
Bihar,Aurangabad,Lemon Grass,personal-care-brand
Bihar,Banka,Banka Silk,handloom-textiles-brand
Bihar,Begusarai,Chilli,spice-processing-unit
Bihar,Bhagalpur,Bhagalpur Silk,handloom-textiles-brand
Bihar,Bhojpur,Applique Work,handloom-textiles-brand
Bihar,Buxar,Hand Embroidery,handloom-textiles-brand
Bihar,Darbhanga,Madhubhani Paintings,handcrafted-home-decor
Bihar,East Champaran,Bags & Garments,d2c-apparel-brand
Bihar,Gaya,Handloom/Garments,d2c-apparel-brand
Bihar,Gopalganj,Sugarcane,honey-and-organic-produce
Bihar,Jamui,Crochet Goods,d2c-apparel-brand
Bihar,Jehanabad,Mushroom,mushroom-farming
Bihar,Kaimur (Bhabua),Carpet,handloom-textiles-brand
Bihar,Katihar,Jute,eco-friendly-products-brand
Bihar,Khagaria,Bamboo Art,eco-friendly-products-brand
Bihar,Kishanganj,Dragon Fruit,fruit-and-vegetable-processing
Bihar,Lakhisarai,Pulses (Masoor),agro-processing-unit
Bihar,Madhepura,Bamboo Art,eco-friendly-products-brand
Bihar,Madhubani,Madhubani Paintings,handcrafted-home-decor
Bihar,Munger,Lemon Grass,personal-care-brand
Bihar,Muzaffarpur,Bags & Garments,d2c-apparel-brand
Bihar,Nalanda,Bawan Booti,handloom-textiles-brand
Bihar,Nawada,Handloom,handloom-textiles-brand
Bihar,Patna,Brass Metal Work,handcrafted-home-decor
Bihar,Purnea,Bamboo Art,eco-friendly-products-brand
Bihar,Rohtas,Menthol,personal-care-brand
Bihar,Saharsa,Makhana (Foxnut),healthy-snacks-brand
Bihar,Samastipur,Bamboo Art,eco-friendly-products-brand
Bihar,Saran,Tomato,fruit-and-vegetable-processing
Bihar,Sheikhpura,Onion,fruit-and-vegetable-processing
Bihar,Sheohar,Maize,agro-processing-unit
Bihar,Sitamarhi,Applique Work,handloom-textiles-brand
Bihar,Siwan,Mentha,personal-care-brand
Bihar,Supaul,Lac Bangles,jewellery-brand
Bihar,Vaishali,Banana,fruit-and-vegetable-processing
Bihar,West Champaran,Marcha Chura,sweet-shop
Chandigarh,Chandigarh,Tourism,local-tour-guide
Chhattisgarh,Balod,Handloom,handloom-textiles-brand
Chhattisgarh,Baloda bazar,Rice based products - poha etc,agro-processing-unit
Chhattisgarh,Balrampur,"Rice- Jiraphul, Bisni etc",agro-processing-unit
Chhattisgarh,Bastar,Bell Metal (Dhokra),handcrafted-home-decor
Chhattisgarh,Bemetara,Papaya Based Product,fruit-and-vegetable-processing
Chhattisgarh,Bijapur,"Minor Forest Produce - Tamarind, Mahua",honey-and-organic-produce
Chhattisgarh,Bilaspur,Black Rice,agro-processing-unit
Chhattisgarh,Dantewada,Minor Forest Produce - Tamarind,honey-and-organic-produce
Chhattisgarh,Dhamtari,Rice,agro-processing-unit
Chhattisgarh,Durg,Tomato Based Product,fruit-and-vegetable-processing
Chhattisgarh,Gariyaband,Minor Forest Produce - Chirounji,honey-and-organic-produce
Chhattisgarh,Gaurella Pendra Marwahi,Groundnuts,healthy-snacks-brand
Chhattisgarh,Janjagir-champa,Kosa,handloom-textiles-brand
Chhattisgarh,Jashpur,Litchi,fruit-and-vegetable-processing
Chhattisgarh,Kabirdham,"Sugarcane based product (Ex. Jaggery, Molasses)",honey-and-organic-produce
Chhattisgarh,Kanker,Custard Apple Based Product,fruit-and-vegetable-processing
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,Soyabean,agro-processing-unit
Chhattisgarh,Kondagaon,Bastar Craft,handcrafted-home-decor
Chhattisgarh,Korba,Minor Forest Produce - Mahua,honey-and-organic-produce
Chhattisgarh,Koriya,Tomato,fruit-and-vegetable-processing
Chhattisgarh,Mahasamund,Milk Based Product,dairy-farm
Chhattisgarh,Manendragarh- Chirmiri- Bharatpur,Tomato,fruit-and-vegetable-processing
Chhattisgarh,Manpur-Mohla- Ambagad Chowki,Soyabean,agro-processing-unit
Chhattisgarh,Mungeli,Groundnuts,healthy-snacks-brand
Chhattisgarh,Narayanpur,Black Gram,agro-processing-unit
Chhattisgarh,Raigarh,Tomato,fruit-and-vegetable-processing
Chhattisgarh,Raipur,Papaya Based Product,fruit-and-vegetable-processing
Chhattisgarh,Rajnandgaon,Soyabean,agro-processing-unit
Chhattisgarh,Sakti,Kosa,handloom-textiles-brand
Chhattisgarh,Sarangarh-Bilaigarh,Tomato,fruit-and-vegetable-processing
Chhattisgarh,Sukma,Wooden Craft,handcrafted-home-decor
Chhattisgarh,Surajpur,Potato,fruit-and-vegetable-processing
Chhattisgarh,Surguja,Jackfruit,fruit-and-vegetable-processing
Dadra & Nagar Haveli (UT)Daman & Diu (UT),Dadra & Nagar Haveli,Textile (Yarn),handloom-textiles-brand
Dadra & Nagar Haveli (UT)Daman & Diu (UT),Daman,Plastic Products,
Dadra & Nagar Haveli (UT)Daman & Diu (UT),Diu,Marine,seafood-processing
Delhi,Central,Dry Fruits & Spices,spice-processing-unit
Delhi,East,Ceramic Tiles & Sanitary Goods,
Delhi,New Delhi,Automobile Refurbishing Component,light-engineering-unit
Delhi,North,Light Engineering Goods,light-engineering-unit
Delhi,North-East,Apparels (Jackets & Jeans),d2c-apparel-brand
Delhi,North-West,Stainless Steel Utensils/ Kitchen Ware,crockery-and-kitchenware-store
Delhi,Shahdara,Readymade clothes/garments,d2c-apparel-brand
Delhi,South,Tourism (Medical & Religious),local-tour-guide
Delhi,South-East,Embroidery/Sequence Ladies Garments,d2c-apparel-brand
Delhi,South-West,Milk Based Product,dairy-farm
Delhi,West,Furniture items,furniture-workshop
Goa,North Goa,Cashew Nuts,agro-processing-unit
Goa,South Goa,Feni,beverage-brand
Gujarat,Ahmedabad,Garment & Apparel,d2c-apparel-brand
Gujarat,Amreli,Peanut Based Products,healthy-snacks-brand
Gujarat,Anand,Agates Stone,jewellery-brand
Gujarat,Aravalli,Agro Processing,agro-processing-unit
Gujarat,Banaskantha,Granite and Marble Blocks,stone-and-marble-products
Gujarat,Bharuch,"Chemicals (Chemicals,Agro Chemicals, Pesticide, Pharmaceutical, API)",
Gujarat,Bhavnagar,Dehydrated Vegetables (Onion),fruit-and-vegetable-processing
Gujarat,Botad,Groundnuts/ Peanuts,healthy-snacks-brand
Gujarat,Chhota Udaipur,Sankheda furniture,furniture-workshop
Gujarat,Dahod,Corn Products,agro-processing-unit
Gujarat,Dang,Nagali Products,healthy-snacks-brand
Gujarat,Devbhoomi Dwarka,Khambhaliya Shawl,handloom-textiles-brand
Gujarat,Gandhinagar,Software & Financial Services,
Gujarat,Gir Somnath,Kesar Mango,fruit-and-vegetable-processing
Gujarat,Himmatnagar/Sabarkantha,Ceramic Tiles,
Gujarat,Jamnagar,Bandhani,handloom-textiles-brand
Gujarat,Junagadh,Groundnuts/Peanuts (Peanut Based Products),healthy-snacks-brand
Gujarat,Kachch,Handicraft Items,handcrafted-home-decor
Gujarat,Kachchh,Bhujodi Shawl weaving,handloom-textiles-brand
Gujarat,Kheda (Nadiad),Agro Products,agro-processing-unit
Gujarat,Mahisagar,Food Processing Papaya,fruit-and-vegetable-processing
Gujarat,Mehsana,Dairy/ Milk Product,dairy-farm
Gujarat,Morbi,Ceramic Tiles & Sanitary Ware,
Gujarat,Narmada,Banana,fruit-and-vegetable-processing
Gujarat,Navsari,Mango (Hafus),fruit-and-vegetable-processing
Gujarat,Panchmahal,Plastic Products,
Gujarat,Patan,Double Ikkat Patan,handloom-textiles-brand
Gujarat,Porbandar,Marine (Queen Fish),seafood-processing
Gujarat,Rajkot,Engineering Goods/Machine products,light-engineering-unit
Gujarat,Surat,Gems and Jewellery,jewellery-brand
Gujarat,Surendranagar,Single Ikat weaving,handloom-textiles-brand
Gujarat,Tapi,Rice based products,agro-processing-unit
Gujarat,Vadodara,Pharmaceuticals,
Gujarat,Valsad,Chemical Products,
Haryana,Ambala,Scientific Equipment,light-engineering-unit
Haryana,Bhiwani,Milk Product,dairy-farm
Haryana,Charkhi Dadri,"Mining & Crushing equipment for Minerals & Stones (Jaws and Screens, etc)",
Haryana,Faridabad,Auto Components,light-engineering-unit
Haryana,Fatehabad,Cotton & Agri-based products,agro-processing-unit
Haryana,Gurugram,Textile and Apparels,d2c-apparel-brand
Haryana,Hisar,Agriculture Implements,light-engineering-unit
Haryana,Jhajjar,Footwear,footwear-brand
Haryana,Jind,Engineering Goods,light-engineering-unit
Haryana,Kaithal,Food Processing (Rice Mill & Dairy Products ),dairy-farm
Haryana,Karnal,Ayurvedic Products,nutrition-supplements-brand
Haryana,Kurukshetra,Agri - Implements,light-engineering-unit
Haryana,Mahendragarh,Mustard Oil,cold-pressed-oil-mill
Haryana,Mewat,Apparels,d2c-apparel-brand
Haryana,Palwal,Machineries - Agriculture & Dairy,light-engineering-unit
Haryana,Panchkula,Automobile Parts,light-engineering-unit
Haryana,Panipat,Handloom and Textiles,handloom-textiles-brand
Haryana,Rewari,Engineering Goods,light-engineering-unit
Haryana,Rohtak,Fastners and Machine Tools,light-engineering-unit
Haryana,Sirsa,"Cotton Products (Balls, Swabs)",handloom-textiles-brand
Haryana,Sonipat,Food Processing,agro-processing-unit
Haryana,Yamunanagar,Metal Utensils,handcrafted-home-decor
Himachal Pradesh,Bilaspur,Processing of Indian Gooseberry (Amla),fruit-and-vegetable-processing
Himachal Pradesh,Chamba,Chamba Rumal,handloom-textiles-brand
Himachal Pradesh,Hamirpur,Agro-products processing,agro-processing-unit
Himachal Pradesh,Kangra,Kangra Tea,beverage-brand
Himachal Pradesh,Kinnaur,Oil-Himachali Chulli,cold-pressed-oil-mill
Himachal Pradesh,Kullu,Shawl-Kullu,handloom-textiles-brand
Himachal Pradesh,Lahaul & Spiti,Processing of Seabuckthorn (Charma),handcrafted-home-decor
Himachal Pradesh,Mandi,Steel Furniture,furniture-workshop
Himachal Pradesh,Shimla,Tourism,local-tour-guide
Himachal Pradesh,Sirmaur,Packaging (Corrugated Boxes),paper-bag-unit
Himachal Pradesh,Solan,Mushrooms,mushroom-farming
Himachal Pradesh,Una,Light Engineering Industry,light-engineering-unit
Jammu and Kashmir,Anantnag,Trout Fish,seafood-processing
Jammu and Kashmir,Bandipora,Crewal Based Shawl,handloom-textiles-brand
Jammu and Kashmir,Baramulla,Apples,fruit-and-vegetable-processing
Jammu and Kashmir,Budgam,Kani Shawls,handloom-textiles-brand
Jammu and Kashmir,Doda,Natural Oils (Lavender),personal-care-brand
Jammu and Kashmir,Ganderbal,Wicker Willow,eco-friendly-products-brand
Jammu and Kashmir,Jammu,Basmati Rice,agro-processing-unit
Jammu and Kashmir,Kathua,Basholi Pashmina,handloom-textiles-brand
Jammu and Kashmir,Kishtwar,Saffron,spice-processing-unit
Jammu and Kashmir,Kulgam,Garlic,spice-processing-unit
Jammu and Kashmir,Kupwara,Walnut,agro-processing-unit
Jammu and Kashmir,Poonch,Pecannut,agro-processing-unit
Jammu and Kashmir,Pulwama,Saffron,spice-processing-unit
Jammu and Kashmir,Rajouri,Walnut,agro-processing-unit
Jammu and Kashmir,Ramban,Honey,honey-and-organic-produce
Jammu and Kashmir,Reasi,Aromatic Plants,personal-care-brand
Jammu and Kashmir,Samba,Mushroom,mushroom-farming
Jammu and Kashmir,Shopian,Apple,fruit-and-vegetable-processing
Jammu and Kashmir,Srinagar,Silk Carpet (Hand Knotted Carpet),handloom-textiles-brand
Jammu and Kashmir,Udhampur,Garlic,spice-processing-unit
Jharkhand,Bokaro,Woodcraft,handcrafted-home-decor
Jharkhand,Chatra,Vegetable,fruit-and-vegetable-processing
Jharkhand,Deogarh,Lac Products,honey-and-organic-produce
Jharkhand,Dhanbad,Coal,
Jharkhand,Dumka,Bamboo,eco-friendly-products-brand
Jharkhand,Garhwa,Carpets,handloom-textiles-brand
Jharkhand,Giridih,Steel- TMT Bar,
Jharkhand,Godda,Tasar Silk,handloom-textiles-brand
Jharkhand,Gumla,Ragi,healthy-snacks-brand
Jharkhand,Hazaribagh,Sohrai Painting,handcrafted-home-decor
Jharkhand,Jamshedpur (East Singhbhum),Paithkar Painting,handcrafted-home-decor
Jharkhand,Jamtara,Nuts-Cashew,agro-processing-unit
Jharkhand,Khunti,Lac,honey-and-organic-produce
Jharkhand,Koderma,Mica,
Jharkhand,Latehar,Mahua,honey-and-organic-produce
Jharkhand,Lohardaga,Honey,honey-and-organic-produce
Jharkhand,Pakur,Jute,eco-friendly-products-brand
Jharkhand,Palamu,Pulses-Arhar,agro-processing-unit
Jharkhand,Ramgarh,Silver Jewellery,jewellery-brand
Jharkhand,Ranchi,Ready Made Garments,d2c-apparel-brand
Jharkhand,Sahibganj,Jute,eco-friendly-products-brand
Jharkhand,Saraikela- Kharsawan,Kharsawan Silk,handloom-textiles-brand
Jharkhand,Simdega,Minor Forest Produce,honey-and-organic-produce
Jharkhand,West Singhbhum (chaibassa),Custard Apple,fruit-and-vegetable-processing
Karnataka,Bagalkote,Ilkal Sarees,handloom-textiles-brand
Karnataka,Ballari (Bellary),Steel and Allied activities,
Karnataka,Ballary,Bellary Denim Jeans,d2c-apparel-brand
Karnataka,Belagavi,Foundry,light-engineering-unit
Karnataka,Belagavi (Belgaum),Auto components,light-engineering-unit
Karnataka,Bengaluru (Bangalore) Rural,Ready-made Garment Manufacturing,d2c-apparel-brand
Karnataka,Bengaluru (Bangalore) Urban,IT/ITES and R&D,
Karnataka,Bengaluru Urban,Handloom Silk Sarees,handloom-textiles-brand
Karnataka,Bidar,Bidari ware,handcrafted-home-decor
Karnataka,Chamarajanagar,Turmeric,spice-processing-unit
Karnataka,Chamarajanagara,Stone Work,stone-and-marble-products
Karnataka,Chikkaballapura,Shidlagatta silk and Raw Silk based sarees,handloom-textiles-brand
Karnataka,Chikkamagaluru,"Areca leaf based Products (Plates, Cups Etc)",eco-friendly-products-brand
Karnataka,Chikkamagaluru (Chikmagalur),Coffee-Arabica,beverage-brand
Karnataka,Chikkballapur,ESDM,
Karnataka,Chitradurga,Molakalmuru Sarees,handloom-textiles-brand
Karnataka,Dakshina Kannada,Marine Products,seafood-processing
Karnataka,Davanagere,Cotton based processing (ginning) & garmenting,d2c-apparel-brand
Karnataka,Davangere,Millets,healthy-snacks-brand
Karnataka,Dharwad,FMCG,agro-processing-unit
Karnataka,Gadag,Byadagi Chilies,spice-processing-unit
Karnataka,Hassan,Coir products,eco-friendly-products-brand
Karnataka,Haveri,Chilli-Byadagi,spice-processing-unit
Karnataka,Kalaburagi (Gulbarga),Toor Daal,agro-processing-unit
Karnataka,Kodagu,Coffee,beverage-brand
Karnataka,Kolar,Automobiles,light-engineering-unit
Karnataka,Koppal,Kinhal Toys,toys-and-games-brand
Karnataka,Mandya,Jaggery,honey-and-organic-produce
Karnataka,Mysuru (Mysore),ESDM,
Karnataka,Raichur,Pharma,
Karnataka,Ramanagara,Channapatna Toys,toys-and-games-brand
Karnataka,Shivamogga,Wooden Carving,handcrafted-home-decor
Karnataka,Shivamogga (Shimoga),BioPharma and Wellness,
Karnataka,Tumakuru (Tumkur),Machine Tool,light-engineering-unit
Karnataka,Udupi,Marine Products,seafood-processing
Karnataka,Uttara Kannada (Karwar),Spices,spice-processing-unit
Karnataka,Vijayanagara,Sandur Lambani Embroidery,handloom-textiles-brand
Karnataka,Vijayapura (Bijapur),Resin,
Karnataka,Yadagiri,Pharmaceuticals,
Kerala,Alappuzha,Coir products,eco-friendly-products-brand
Kerala,Ernakulam,Oleo Raisins,fruit-and-vegetable-processing
Kerala,Idukki,Spices,spice-processing-unit
Kerala,Kannur,Handloom Products,handloom-textiles-brand
Kerala,Kasaragod,Cashew Products,agro-processing-unit
Kerala,Kollam,Cashew Nut Products,agro-processing-unit
Kerala,Kottayam,Rubber Products,
Kerala,Kozhikode,Coconut Products,agro-processing-unit
Kerala,Malappuram,Food Products,agro-processing-unit
Kerala,Palakkad,Palakkadan Matta Rice,agro-processing-unit
Kerala,Pathanamthitta,Food Products,agro-processing-unit
Kerala,Thiruvananthapuram,Handloom Products,handloom-textiles-brand
Kerala,Thrissur,Coconut Products,agro-processing-unit
Kerala,Wayanad,Coffee,beverage-brand
Ladakh,Kargil,Apricot,fruit-and-vegetable-processing
Ladakh,Leh,Pashmina,handloom-textiles-brand
Lakshadweep,Lakshadweep,Coconut Derived Products,agro-processing-unit
Madhya Pradesh,Agar Malwa,Oranges,fruit-and-vegetable-processing
Madhya Pradesh,Alirajpur,Mahua,honey-and-organic-produce
Madhya Pradesh,Anuppur,Kodo Kutki,healthy-snacks-brand
Madhya Pradesh,Ashoknagar,Chanderi Handloom,handloom-textiles-brand
Madhya Pradesh,Badhwani,Ginger,spice-processing-unit
Madhya Pradesh,Balaghat,Chinnaur Rice,agro-processing-unit
Madhya Pradesh,Betul,Teak,furniture-workshop
Madhya Pradesh,Bhind,Mustard,cold-pressed-oil-mill
Madhya Pradesh,Bhopal,Zari Zardosi,handloom-textiles-brand
Madhya Pradesh,Burhanpur,Banana,fruit-and-vegetable-processing
Madhya Pradesh,Chhatarpur,Furniture - Wooden,furniture-workshop
Madhya Pradesh,Chhindwara,Oranges & Orange Products,fruit-and-vegetable-processing
Madhya Pradesh,Damoh,Gram,agro-processing-unit
Madhya Pradesh,Datia,Jaggery,honey-and-organic-produce
Madhya Pradesh,Dewas,Bamboo,eco-friendly-products-brand
Madhya Pradesh,Dhar (Pithampur),Bagh Prints,handloom-textiles-brand
Madhya Pradesh,Dindori,Kodo Kutki,healthy-snacks-brand
Madhya Pradesh,Guna,Coriander,spice-processing-unit
Madhya Pradesh,Gwalior,Sandstone Tiles,stone-and-marble-products
Madhya Pradesh,Harda,Bamboo,eco-friendly-products-brand
Madhya Pradesh,Hoshangabad,Sightseeing,local-tour-guide
Madhya Pradesh,Indore,Potato,fruit-and-vegetable-processing
Madhya Pradesh,Jabalpur,Peas,fruit-and-vegetable-processing
Madhya Pradesh,Jhabua,Kadaknath Chicken,poultry-farm
Madhya Pradesh,Katni,Cut Stone,stone-and-marble-products
Madhya Pradesh,Khandwa,Onion,fruit-and-vegetable-processing
Madhya Pradesh,Khargone,Chilli,spice-processing-unit
Madhya Pradesh,Mandla,Kodo Kutki,healthy-snacks-brand
Madhya Pradesh,Mandsaur,Garlic,spice-processing-unit
Madhya Pradesh,Morena,Oil - Mustard,cold-pressed-oil-mill
Madhya Pradesh,Narsinghpur,Toor Dal,agro-processing-unit
Madhya Pradesh,Neemuch,Coriander,spice-processing-unit
Madhya Pradesh,Niwari,Ginger,spice-processing-unit
Madhya Pradesh,Panna,Gooseberry,fruit-and-vegetable-processing
Madhya Pradesh,Raisen,Basmati Rice,agro-processing-unit
Madhya Pradesh,Rajgarh,Orange,fruit-and-vegetable-processing
Madhya Pradesh,Ratlam,Ratlami Namkeen,healthy-snacks-brand
Madhya Pradesh,Rewa,Bamboo,eco-friendly-products-brand
Madhya Pradesh,Sagar,Farm Equipment,light-engineering-unit
Madhya Pradesh,Satna,Tomato,fruit-and-vegetable-processing
Madhya Pradesh,Sehore,Wooden Toys and Handicraft,toys-and-games-brand
Madhya Pradesh,Seoni,Cilantro,spice-processing-unit
Madhya Pradesh,Shahdol,Turmeric,spice-processing-unit
Madhya Pradesh,Shajapur,Onion,fruit-and-vegetable-processing
Madhya Pradesh,Sheopur,Guava,fruit-and-vegetable-processing
Madhya Pradesh,Shivpuri,Cloth Jacket,d2c-apparel-brand
Madhya Pradesh,Sidhi,Carpet (Panja Dari),handloom-textiles-brand
Madhya Pradesh,Singrauli,Kodo Kutki (Millet),healthy-snacks-brand
Madhya Pradesh,Tikamgarh,Ginger,spice-processing-unit
Madhya Pradesh,Ujjain,Batik print,handloom-textiles-brand
Madhya Pradesh,Umaria,Mahua,honey-and-organic-produce
Madhya Pradesh,Vidisha,Farm Equipment,light-engineering-unit
Maharashtra,Ahmednagar,Cane Sugar,honey-and-organic-produce
Maharashtra,Akola,Cotton Ginning and pressing,agro-processing-unit
Maharashtra,Amravati,Textile,handloom-textiles-brand
Maharashtra,Aurangabad,Marathwada Kesar Mango,fruit-and-vegetable-processing
Maharashtra,Beed,Cotton and cotton seed oil,cold-pressed-oil-mill
Maharashtra,Bhandara,Rice,agro-processing-unit
Maharashtra,Buldhana,Mineral based products,
Maharashtra,Chandrapur,Rice,agro-processing-unit
Maharashtra,Dhule,De-Oiled Cake,agro-processing-unit
Maharashtra,Gadchiroli,Rice,agro-processing-unit
Maharashtra,Gondia,Rice,agro-processing-unit
Maharashtra,Hingoli,Turmeric,spice-processing-unit
Maharashtra,Jalgaon,Jalgaon Banana,fruit-and-vegetable-processing
Maharashtra,Jalna,Sweet Orange,fruit-and-vegetable-processing
Maharashtra,Kolhapur,Kolhapur Jaggery (Sugarcane Products etc),honey-and-organic-produce
Maharashtra,Latur,Soya bean and Soya bean based products,agro-processing-unit
Maharashtra,Mumbai City,Gems & Jewellery,jewellery-brand
Maharashtra,Mumbai Suburban,Gems & Jewellery,jewellery-brand
Maharashtra,Nagpur,Nagpur Orange,fruit-and-vegetable-processing
Maharashtra,Nanded,Soya bean and soya bean products,agro-processing-unit
Maharashtra,Nandurbar,Chilli powder,spice-processing-unit
Maharashtra,Nashik,Grapes/Raisins,fruit-and-vegetable-processing
Maharashtra,Osmanabad,Pulses,agro-processing-unit
