key,name,industry,description,idea_slug,mapped_by
S1E10P29,Nuutjob,Beauty/Fashion,Male Intimate Hygiene deo spray,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S1E10P30,Meatyour,Food and Beverage,Eggs,poultry-farm,override
S1E10P31,Event Beep,Children/Education,Student Community App EdTech,consumer-app-startup,.
S1E11P32,Gopal's56,Food and Beverage,Fiber Ice Cream,ice-cream-and-desserts-brand,ice.?cream|ice-?pops|gelato|dessert|kheer|cheesecake|waffles
S1E11P33,ARRCOATSurface Textures,Manufacturing,Wall Building Surface Textures,home-painting-contractor,wall building|surface textures|tiles
S1E11P34,Farda,Beauty/Fashion,Customised Streetwear,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E12P35,Auli,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,personal-care-brand,ayurved
S1E12P36,Swee Desi,Food and Beverage,Indian Sweets Online,sweet-shop,sweet|mithai|candy|candies|lollipop|chocolate|confection|chewing gum
S1E12P37,LOKA,Technology/Software,Metaverse App,consumer-app-startup,.
S1E13P38,Annie,Children/Education,Thinkerbell labs Braille Literary Device,hardware-product-startup,device|gadget
S1E13P39,Carragreen,Green/CleanTech,Eco-Friendly boxes,eco-friendly-products-brand,\beco|sustainab|bamboo|bioplastic|afforestation|climate|biodegrad|paper goods|handmade paper
S1E13P40,The Yarn Bazaar,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,b2b-marketplace,yarn|b2b|fabric sourcing
S1E14P41,The Renal Project,Medical/Health,Home Dialysis Treatment,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S1E14P42,Morriko Pure Foods,Food and Beverage,Healthy Food Snacks Kamdhenu foods,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E14P43,Good Good Piggy,Technology/Software,Digital Piggy Bank,consumer-app-startup,.
S1E15P44,Hammer Lifestyle,Electronics,Smart Audio Products,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E15P45,PNTRobotics,Technology/Software,Robotics and Automation Solutions,saas-micro-product,software|automation|enterprise|optimization|character recognition|fees payment|builder|analytics|facade|fasade
S1E15P46,Cocofit,Food and Beverage,Coconut based beverage franchise,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E16P47,Bamboo India,Manufacturing,Bamboo Products,eco-friendly-products-brand,\beco|sustainab|bamboo|bioplastic|afforestation|climate|biodegrad|paper goods|handmade paper
S1E16P48,Flying Fur,Animal/Pets,Dog pets Hygiene,pet-grooming,.
S1E16P49,Beyond Water,Food and Beverage,Liquid Water Enhancer,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E16P50,Let's Try,Food and Beverage,Healthy Snacks,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E17P51,Find Your Kicks India,Beauty/Fashion,Sneaker Resale,sneaker-and-streetwear-resale,sneaker resale|sneaker collection|pre-owned|thrift|refurbished
S1E17P52,Aas Vidyalaya,Children/Education,EdTech App,consumer-app-startup,.
S1E17P53,Outbox,Business Services,Premium Surprise-Planning,event-planning,surprise|proposal|event platform|celebration|private theatre
S1E17P54,Road Bounce,Technology/Software,Pothole Detection Software and Data,saas-micro-product,software|automation|enterprise|optimization|character recognition|fees payment|builder|analytics|facade|fasade
S1E18P55,Mommy's Kitchen,Food and Beverage,Thin Crust Pizza,quick-service-food-outlet,qsr|restaurant|food kart|food truck|maggi|pizza|kulche|parathas|cuisine|dining|pancake|kunafa
S1E18P56,India Hempand Co,Food and Beverage,Hemp Food Products,traditional-health-foods,ayurved|herbal|vegan fermented|hemp|fermented
S1E18P57,Otua,Vehicles/Electrical Vehicles,Electric Auto Vehicle Dandera,ev-assembly,.
S1E18P58,Anthyesti,Business Services,Funeral Service the last rites,funeral-services,funeral|last rites|beyond life
S1E19P59,Ethik,Manufacturing,Leather-free Shoes,footwear-brand,shoe|footwear|sneaker|insole|loafer
S1E19P60,We STOCK,Animal/Pets,Brainwired Livestock health monitoring AI pets ear tag,agritech-devices,livestock|cattle|ear tag
S1E19P61,Keto India,Food and Beverage,Customised Keto Diets for various Medical/Health issues,nutrition-coaching,keto|diet
S1E19P62,Magiclock,Hardware,LPG Cylinder lock,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E20P63,The State Plate,Food and Beverage,Delicacies,cloud-kitchen,cloud.?kitchen|virtual restaurant|where's the food|homemade after delivery|homemade delicacies|delicacies
S1E20P64,Bakarmax,Technology/Software,Comics & Animation,video-editing-service,animation|comics|content studio|dubbing|localisation|localization
S1E20P65,INACAN,Food and Beverage,Can Cocktails,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E21P66,Get-A-Whey,Food and Beverage,Sugar-Free Icecream,ice-cream-and-desserts-brand,ice.?cream|ice-?pops|gelato|dessert|kheer|cheesecake|waffles
S1E21P67,Sid07Designs,Hardware,Inventions,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E21P68,The Quirky Naari,Beauty/Fashion,Customised Apparels,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E22P69,Hair Originals,Beauty/Fashion,Natural Hair Extensions,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S1E22P70,Poo-de-Cologne,Beauty/Fashion,Toilet Spray with Essential Oils,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S1E22P71,Moonshine,Food and Beverage,Meads,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E22P72,Falhari,Food and Beverage,Fresh Fruits salads,juice-and-shake-bar,fruit juices|fruit salad|fresh fruits|salads|smoothie
S1E23P73,Namhya Foods,Food and Beverage,Ayurvedic Enriched Food,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E23P74,Urban Monkey,Beauty/Fashion,Streetwear,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E23P75,Guardian Gears,Manufacturing,Motorcycle Luggage bags,bags-and-accessories-brand,\bbags?\b|backpack|sling|clutch|handbag|luggage|suitcase|accessories|eyewear|eye wear|watches
S1E23P76,Modern Myth,Beauty/Fashion,Bags Slings Clutches Handbags Totes Laptop Bags Travel Essentials Pouches Trunks & Gifting,bags-and-accessories-brand,override
S1E24P77,The Sass Bar,Beauty/Fashion,Gifts Soaps,handmade-soap-and-cosmetics,override
S1E24P78,KGAgrotech,Agriculture,Agricultural Innovations,agritech-devices,.
S1E24P79,Nuskha Kitchen,Food and Beverage,Homemade after delivery Foods,cloud-kitchen,cloud.?kitchen|virtual restaurant|where's the food|homemade after delivery|homemade delicacies|delicacies
S1E25P80,Paws India,Animal/Pets,Dog Products,pet-grooming,.
S1E25P81,Sunfox Technologies,Medical/Health,Portable ECG Device,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S1E25P82,Alpino,Food and Beverage,Roasted Peanut butter Products,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E26P83,Isak Fragrances,Beauty/Fashion,Perfumes Fragrances,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S1E26P84,Julaa Automation,Manufacturing,Automatic Cradle,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E26P85,Rare Planet,Manufacturing,Handicrafts,handcrafted-home-decor,"decor|handicraft|handcrafted|artisan|art & craft|art by|mural|neon|rug|clay|copper|brass|marble|handmade|hand-painted|design, aesthetics"
S1E27P86,Theka Coffee,Food and Beverage,Coffee Products,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E27P87,Watt Technovations,Medical/Health,Ventilated PPE Kits,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S1E27P88,Aliste Technologies,Technology/Software,Automation Solutions,saas-micro-product,software|automation|enterprise|optimization|character recognition|fees payment|builder|analytics|facade|fasade
S1E27P89,Insurance Samadhan,Business Services,Insurance Solutions,insurance-agency,insurance
S1E28P90,Humpy A2,Food and Beverage,Organic Milk A2 Products,dairy-farm,milk|a2|dairy|cheese|eggs
S1E28P91,Kunafa World,Food and Beverage,Kunafa food products,quick-service-food-outlet,qsr|restaurant|food kart|food truck|maggi|pizza|kulche|parathas|cuisine|dining|pancake|kunafa
S1E28P92,Gold Safe Solutions,Manufacturing,Anti-Suicidal Fan Rod,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E29P93,Wakao Foods,Food and Beverage,Jackfruit Products,frozen-and-ready-to-cook-foods,momo|frozen|ready to cook|jackfruit|instant curr|soup|ready-to-eat|soya chaap|plant based meat|plant-based meat|diy food|breakfast option|overnight oats
S1E29P94,PDDFalcon,Manufacturing,Stainless Steel Items,crockery-and-kitchenware-store,stainless steel|kitchenware|dinnerware|plates|borosilicate|lunch box
S1E29P95,Play Box TV,Business Services,Streaming Platform,publishing-and-comics,publishing|web series|movie|audio content|streaming
S1E30P96,Sippline,Manufacturing,Portable Glass Attachment Drinking Shields,hardware-product-startup,override
S1E30P97,Kabaddi Adda,Fitness/Sports/Outdoors,All-Kabaddi App,consumer-app-startup,.
S1E30P98,Shadesof Spring,Business Services,Flowers,florist-and-flower-delivery,flowers?\b
S1E30P99,Scholify,Children/Education,Scholarship Platform,consumer-app-startup,.
S1E31P100,Scrapshala,Manufacturing,Handmade Reusable Scrap Materials,recycling-and-waste,waste|scrap|recycl|compost|upcycl|plastic
S1E31P101,Sabjikothi,Manufacturing,Vegetables Storage SaptKrishi,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E31P102,Ayu Rythm,Medical/Health,Ayurvedic Wellness App,nutrition-supplements-brand,supplement|protein|tablet|shilajit|vitamin|magnesium|ayurved
S1E31P103,Astrix,Manufacturing,Smart Locks Qtouch,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E32P104,Thea And Sid,Business Services,Proposal Solutions,event-planning,surprise|proposal|event platform|celebration|private theatre
S1E32P105,Experential Etc,Technology/Software,Technology layered advertisement services,digital-agency,advertisement|influencer|sales agent|beauty brands
S1E32P106,Grow Fitter,Technology/Software,Rewards App,consumer-app-startup,.
S1E32P107,C3Med-Tech,Medical/Health,Portable ophthalmic vision devices,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S1E33P108,Colour Me Mad-CMM,Beauty/Fashion,Insoles,footwear-brand,shoe|footwear|sneaker|insole|loafer
S1E33P109,Mavi's,Food and Beverage,Vegan Fermented Food,traditional-health-foods,ayurved|herbal|vegan fermented|hemp|fermented
S1E33P110,Tweek Labs,Fitness/Sports/Outdoors,Sportswear,sports-goods-brand,bat|bowling|paddle|archery|shop|skateboard|gear|equipment|tools|sportswear|apparel|peripherals
S1E33P111,Proxgy,Technology/Software,Virtual Reality,hardware-product-startup,robot|drone|aerial|underwater|wearable|virtual reality|4d
S1E34P112,Nomad Food Project,Food and Beverage,Bacon Jams Relishes,pickle-and-papad-brand,pickle|chutney|sauce|relish|jam|marinade|fruit spread|mukhwas|mouth fresh
S1E34P113,Twee In One,Beauty/Fashion,Reversible and convertible clothing,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E34P114,Green Protein,Food and Beverage,Plant-Based Protein,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E34P115,On2Cook,Food and Beverage,Fastest Cooking Device,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E35P116,Jain Shikanji,Food and Beverage,Lemonade,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E35P117,Woloo,Technology/Software,Washroom Finder,consumer-app-startup,.
S1E35P118,Elcare India,Medical/Health,Carenting for Elders,elder-care-service,elder
S1E36P119,Snea Kare,Beauty/Fashion,Shoe Sneaker kits storage crates,footwear-brand,shoe|footwear|sneaker|insole|loafer
S1E36P120,French Crown,Beauty/Fashion,Clothes,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E36P121,Store My Goods,Business Services,Storage solutions,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E36P122,Devnagri,Technology/Software,Translation of language content,translation-services,translation
S1E0P123,Wit Blox,Manufacturing,Kids playing equipment,toys-and-games-brand,toy|games|balance bike|playing equipment|diy kits|satellites by kids|microscope|crayon
S1E0P124,Kineer,Food and Beverage,Packaged drinking water,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S1E0P125,Pi Chem,Manufacturing,Chemical products,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E0P126,Clensta,Beauty/Fashion,Waterless bathing technology products,hardware-product-startup,machine|waterless|wheelchair|wearable|air purifier|cleaning device|massager|smart watch
S1E0P127,Infiniti Insects,Animal/Pets,Live insect feed for pets,pet-food-and-treats,food|treat|feed|ice cream
S1E0P128,Ashwa Pro,Business Services,Outdoor cycling gym,gym,\bgym
S1E0P129,Mine4Nine,Beauty/Fashion,Trendy maternity dresses,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S1E0P130,Studio Beej,Beauty/Fashion,Sustainable leather accessories,bags-and-accessories-brand,override
S1E0P131,Sattuz,Food and Beverage,Foods Beverages super food,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E0P132,Scintiglo,Medical/Health,Diagnostic device for microalbuminuria estimation,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S1E0P133,Glii,Business Services,Dating app for LGBTQ,consumer-app-startup,\bapp\b|platform|dating|social|meetup|club|conversations|anger management|astrology|letter writing
S1E0P134,Stanlee India,Electronics,Televisions,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E0P135,Space Kidz India,Manufacturing,Small Satellites by kids,toys-and-games-brand,toy|games|balance bike|playing equipment|diy kits|satellites by kids|microscope|crayon
S1E0P136,Urban Naps,Business Services,Smart Napping Pod,capsule-and-budget-hotel,napping pod|hotels for hours|pod hotel
S1E0P137,Gizmoswala,Entertainment,Sex toys and games,personal-care-brand,override
S1E0P138,Zypp Electric,Vehicles/Electrical Vehicles,Electrical Vehicles,ev-assembly,.
S1E0P139,Picsniff,Technology/Software,Face recognition based image sharing,consumer-app-startup,.
